feature,category,CL — LightGBM,CL — RandomForest,CL — XGBoost,Direct — LGBM Dense,MIMO — RF,MIMO — XGB Dense,OL — LGBM-SS Daily,avg
y_lag1,Price lag,0.7005326000267004,0.1223014516463167,0.7656942982670316,0.021906586021505376,0.030727175351722886,0.05319102531591579,0.022698602982080877,0.24529310565875337
load_lag1,Load / Load-FC,0.22386301904404687,0.12319705193816115,0.07456322710417304,0.00437231182795699,0.03160209486653369,0.015568909319404224,0.05013750793314999,0.07475773171906085
y_roll24,Price rolling,0.0016653965410737752,0.0232742700222905,0.0021894208618005815,0.02945631720430108,0.3101090405213323,0.002464583200786383,0.021249089156853068,0.055772588215491095
hour_cos,Calendar / Time,0.030268722492368408,0.013201659608822136,0.04653553541652148,0.0054630376344086025,0.1564977336252592,0.01339388649203539,0.024336161844094994,0.041385248159072886
hour,Calendar / Time,0.003253895677960565,0.024831789674314077,0.003554625523789588,0.013834005376344088,0.14282418841675223,0.008489659526593172,0.03107444232893778,0.032551800932098786
hour_sin,Calendar / Time,0.003809939663791546,0.005391772990790877,0.010324844922328847,0.008956317204301076,0.12433943794014198,0.008185369636664091,0.029005946924288366,0.027144804183186683
y_lag24,Price lag,0.012923203768255549,0.0826942980032725,0.026795453332464567,0.01503427419354839,0.001388325249873875,0.003477716000686657,0.021907246785605152,0.02346007390481524
y_roll168,Price rolling,0.00016924528214708884,0.008715832548325926,0.00030484705012538016,0.053338037634408614,0.051642745853310044,0.0016095812616313521,0.02176621300801542,0.019649500376851977
y_lag2,Price lag,0.0019292053366011153,0.055160733743591664,0.0024860957318269565,0.008019489247311828,0.012676475892328357,0.01858204904393159,0.01979957533162526,0.01695051776103097
load_lag2,Load / Load-FC,0.00022912053457143847,0.052929867099623364,0.0034457776751339983,0.0016001344086021506,0.012552974804086493,0.01775176118388445,0.024163787227040875,0.01609620327613468
load_lag24,Load / Load-FC,0.0008889092264614147,0.08201535381368422,0.005564911629713267,0.002844758064516129,0.0013944426685492625,0.00246113288105078,0.011094657170392309,0.015180595064909626
y_lag168,Price lag,0.0007540914785749952,0.058095725932564915,0.002692706829035472,0.013815860215053766,0.0003963058230348442,0.0007117049709586723,0.015693925361790817,0.01316576008728764
load_lag3,Load / Load-FC,0.0001300701012209479,0.026201379346986867,0.0013264805062909095,0.0015665322580645164,0.006745343204837091,0.03829825113655524,0.01587413518871103,0.012877455963238086
dow,Calendar / Time,0.0011496865829077312,0.002819096526938864,0.00268232607589362,0.03250873655913979,0.013559308218461416,0.01608986264861409,0.018467589654388893,0.012468086609477774
load_lag12,Load / Load-FC,1.8672323905824698e-05,0.004569247734412295,0.002492847586943264,0.0015987903225806452,0.007335706815157913,0.04902723099338541,0.017057251878491567,0.01172853537926813
y_lag48,Price lag,0.00013350976445715955,0.046623168917354026,0.0003041446292521083,0.013602822580645163,0.0007330920563567622,0.002255663301264334,0.015897640818309317,0.01136429172394841
y_lag6,Price lag,0.0009235790637950135,0.004643106549210843,0.001060973041396927,0.009087365591397849,0.011764252467984019,0.029652886840887106,0.0201286541460013,0.011037259671524722
y_lag3,Price lag,0.0013129246790289054,0.022895035631475835,0.0020513646448396834,0.008770161290322582,0.006444663205579151,0.015555729249596672,0.01606218022549734,0.010441722703762882
load_lag6,Load / Load-FC,0.00013130371745917281,0.003933258644280733,0.0008560154490358973,0.0017217741935483873,0.011518893962577686,0.033283896674798155,0.020512579429440018,0.010279674581591436
y_lag12,Price lag,0.004019226205317233,0.004361159900028215,0.0046494463164032185,0.008799059139784947,0.007769389220746351,0.01896610387116074,0.01901605434501563,0.009654348428350905
load_lag168,Load / Load-FC,0.0001774071461175615,0.0480659965969136,0.0038308259676853133,0.002848118279569893,0.00039897288640517136,0.00052567386016063,0.008595225223107602,0.009206031422851396
load_lag48,Load / Load-FC,1.150915470551605e-05,0.04834301812051578,0.00018675771764984562,0.0023104838709677423,0.0007352463062371342,0.0021429201867098277,0.008046760532480863,0.008825242269895246
gen_solar_lag2,Solar gen lag,0.0033125893246865067,0.0118834037030286,0.005479099111165163,0.008227822580645163,0.0035265179145074154,0.0021737409564315897,0.0264203276684766,0.008717643036991575
residual_load_lag1,Residual load lag,0.0002470699039519407,0.016788462089558278,0.0008943616624319308,0.011705645161290324,0.000370779828732182,0.0019368168867793982,0.02268293256234868,0.007803724013584677
y_lag9,Price lag (intraday dense),0.0,0.0,0.0,0.00863709677419355,0.0,0.04237868688993806,0.0,0.007287969094875944
