===== FEATURE STRATEGY COMPARE (MIMO) — SUMMARY =====
mode=hourly | horizon=24 | test_size=168
train_end=2025-11-30 23:00:00 | eval_mode=multi_origin | origin_stride=24
models=['mlp', 'rf', 'lgbm', 'xgb'] | strategies=['all', 'topk', 'hybrid'] | topk=[10, 20, 30]

===== BEST PER MODEL (avg sMAPE) =====
model strategy    k  n_features  avg_sMAPE  n_weeks
 LGBM      all  NaN         158  20.968631        1
  MLP   hybrid 10.0          18  21.732897        1
   RF      all  NaN         158  19.536724        1
  XGB      all  NaN         158  20.550263        1

===== ALL ROWS (sorted by week, sMAPE) =====
 week test_start model strategy    k  n_features  n_origins       MAE      RMSE     sMAPE  MAE_std  RMSE_std  sMAPE_std
weekB 2025-12-08    RF      all  NaN         158          7 14.371266 20.195980 19.536724 3.942831  7.883928  11.026838
weekB 2025-12-08    RF   hybrid 30.0          38          7 14.601954 20.292136 19.995845 4.030232  7.528317  11.059952
weekB 2025-12-08   XGB      all  NaN         158          7 14.707164 20.582214 20.550263 2.472634  5.253052  10.332971
weekB 2025-12-08  LGBM      all  NaN         158          7 14.639139 20.026362 20.968631 3.068984  5.050145  10.368995
weekB 2025-12-08  LGBM   hybrid 10.0          18          7 16.240458 23.306766 21.005660 3.803428  8.586609  10.745429
weekB 2025-12-08  LGBM   hybrid 30.0          38          7 15.574257 21.558913 21.019623 3.838647  7.750318  10.822983
weekB 2025-12-08   XGB   hybrid 30.0          38          7 15.127823 20.906746 21.046458 3.111714  6.115991  10.848512
weekB 2025-12-08   XGB   hybrid 10.0          18          7 16.678664 23.922990 21.143705 3.759931  8.731113  10.466263
weekB 2025-12-08   XGB   hybrid 20.0          28          7 15.870098 22.238668 21.551113 2.912474  6.575973  10.106448
weekB 2025-12-08   MLP   hybrid 10.0          18          7 17.646947 24.357386 21.732897 5.955072 10.829234  11.684212
weekB 2025-12-08  LGBM   hybrid 20.0          28          7 16.336719 22.775113 22.167886 3.758680  7.417057  10.244818
weekB 2025-12-08   MLP   hybrid 30.0          38          7 17.775174 23.698570 22.292366 5.197172  8.559135  11.404892
weekB 2025-12-08    RF     topk 30.0          30          7 17.935988 24.262699 22.506508 5.500593  7.922755  12.298737
weekB 2025-12-08    RF   hybrid 20.0          28          7 16.913732 22.747427 22.574004 3.824321  6.829773   9.964461
weekB 2025-12-08    RF   hybrid 10.0          18          7 16.886133 23.769287 22.899936 3.630270  7.279152  10.515951
weekB 2025-12-08    RF     topk 20.0          20          7 19.033574 26.030655 23.308357 5.268670  7.613008  11.682467
weekB 2025-12-08  LGBM     topk 20.0          20          7 18.394675 25.576916 24.315053 4.671900  6.746403  10.620620
weekB 2025-12-08   XGB     topk 20.0          20          7 18.635639 25.522039 24.352995 5.201764  6.813376  10.859184
weekB 2025-12-08   MLP     topk 30.0          30          7 19.954947 26.971885 24.790056 5.879759  9.282028  11.149141
weekB 2025-12-08  LGBM     topk 30.0          30          7 18.585082 25.271344 24.926419 4.473230  6.207050  11.409594
weekB 2025-12-08   XGB     topk 30.0          30          7 18.932262 25.300481 25.543806 4.908183  7.032773  11.721420
weekB 2025-12-08   MLP     topk 10.0          10          7 22.431161 29.503201 25.682704 7.745279 11.137607  12.526067
weekB 2025-12-08   XGB     topk 10.0          10          7 22.434753 29.437199 25.847359 6.608205 10.067428  11.447443
weekB 2025-12-08   MLP      all  NaN         158          7 19.758831 25.890758 26.004532 3.908602  6.192404  11.174009
weekB 2025-12-08    RF     topk 10.0          10          7 22.804766 29.944530 26.029340 7.222638 10.827361  11.916896
weekB 2025-12-08  LGBM     topk 10.0          10          7 23.276120 31.125698 26.369650 7.055046 10.021386  11.133939
weekB 2025-12-08   MLP     topk 20.0          20          7 19.383060 26.744396 26.701504 7.816050 10.427163  12.725489
weekB 2025-12-08   MLP   hybrid 20.0          28          7 20.130418 26.899800 27.529278 4.664432  6.915265   9.302706
