===== FEATURE STRATEGY COMPARE (MIMO) — SUMMARY =====
mode=hourly | horizon=24 | test_size=168
train_end=2025-11-30 23:00:00 | eval_mode=multi_origin | origin_stride=24
models=['mlp', 'rf', 'lgbm', 'xgb'] | strategies=['all', 'topk', 'hybrid'] | topk=[10, 20, 30]

===== BEST PER MODEL (avg sMAPE) =====
model strategy    k  n_features  avg_sMAPE  n_weeks
 LGBM      all  NaN         158  15.266626        1
  MLP   hybrid 30.0          38  15.809546        1
   RF      all  NaN         158  15.255273        1
  XGB      all  NaN         158  15.757828        1

===== ALL ROWS (sorted by week, sMAPE) =====
 week test_start model strategy    k  n_features  n_origins       MAE      RMSE     sMAPE   MAE_std  RMSE_std  sMAPE_std
weekC 2025-12-15    RF      all  NaN         158          7 20.457816 28.668129 15.255273 11.297014 16.172950   6.604549
weekC 2025-12-15  LGBM      all  NaN         158          7 19.767737 27.370744 15.266626  9.941953 13.943723   5.488591
weekC 2025-12-15    RF   hybrid 30.0          38          7 20.843253 29.865873 15.416899 10.743422 14.888170   6.325339
weekC 2025-12-15   XGB      all  NaN         158          7 20.526830 28.472868 15.757828 10.358797 13.731546   6.150593
weekC 2025-12-15   MLP   hybrid 30.0          38          7 21.213623 29.774337 15.809546  6.401393 11.078611   3.084678
weekC 2025-12-15    RF   hybrid 20.0          28          7 21.477954 30.239934 15.917997  9.997133 13.740251   5.905719
weekC 2025-12-15  LGBM   hybrid 10.0          18          7 21.143567 31.094532 16.049666  9.131834 15.267362   4.807456
weekC 2025-12-15  LGBM   hybrid 20.0          28          7 21.716854 31.253719 16.278520  8.360291 12.445355   4.474535
weekC 2025-12-15  LGBM   hybrid 30.0          38          7 20.824048 29.165332 16.289974  9.873964 13.455689   5.918124
weekC 2025-12-15   XGB   hybrid 10.0          18          7 21.598586 30.841626 16.378724  8.285697 14.185245   4.206488
weekC 2025-12-15   MLP   hybrid 10.0          18          7 21.577889 30.323817 16.681834  8.871694 13.248603   4.815115
weekC 2025-12-15   MLP      all  NaN         158          7 21.217850 28.537874 16.848155  8.395976 12.005821   4.319492
weekC 2025-12-15   XGB   hybrid 20.0          28          7 22.705344 32.709499 16.886165  8.862518 12.845024   4.641024
weekC 2025-12-15   XGB   hybrid 30.0          38          7 23.071454 31.545806 18.358241 10.160701 13.020242   6.127604
weekC 2025-12-15   MLP   hybrid 20.0          28          7 24.055954 33.448735 18.883691  8.946954 12.088235   5.287228
weekC 2025-12-15    RF   hybrid 10.0          18          7 23.583214 33.827144 18.914560  9.940556 13.794205   6.066599
weekC 2025-12-15    RF     topk 30.0          30          7 24.903051 34.379635 19.003604 10.725690 14.183837   7.342706
weekC 2025-12-15    RF     topk 20.0          20          7 24.806566 33.999231 19.068979  9.297144 12.475403   6.571746
weekC 2025-12-15   MLP     topk 30.0          30          7 24.561621 32.793671 19.204773 13.705312 18.028706   9.213800
weekC 2025-12-15  LGBM     topk 20.0          20          7 25.733489 35.504582 20.030940  8.463783 12.122541   5.154613
weekC 2025-12-15   XGB     topk 20.0          20          7 25.962079 35.774505 20.361681  9.463260 12.977893   6.028036
weekC 2025-12-15   MLP     topk 20.0          20          7 26.191925 34.919339 20.834257 12.302852 16.237632   8.051137
weekC 2025-12-15   MLP     topk 10.0          10          7 29.200460 39.832545 22.638897 13.599815 20.955284   8.257477
weekC 2025-12-15    RF     topk 10.0          10          7 29.551152 39.709147 23.022673 13.487234 19.933282   8.374236
weekC 2025-12-15  LGBM     topk 30.0          30          7 27.509172 36.610158 23.110797 10.699251 14.939629   6.940602
weekC 2025-12-15  LGBM     topk 10.0          10          7 29.684530 40.111886 23.135186 14.075521 21.196897   8.948611
weekC 2025-12-15   XGB     topk 10.0          10          7 30.361295 40.861493 23.798865 14.508692 21.893280   9.442996
weekC 2025-12-15   XGB     topk 30.0          30          7 29.119049 38.650210 25.049233 11.248858 14.792250   7.379492
