===== FEATURE STRATEGY COMPARE (MIMO) — SUMMARY =====
mode=hourly | horizon=24 | test_size=168
train_end=2025-11-30 23:00:00 | eval_mode=multi_origin | origin_stride=24
models=['mlp', 'rf', 'lgbm', 'xgb'] | strategies=['all', 'topk', 'hybrid'] | topk=[10, 20, 30]

===== BEST PER MODEL (avg sMAPE) =====
model strategy    k  n_features  avg_sMAPE  n_weeks
 LGBM      all  NaN         158  14.933351        1
  MLP     topk 20.0          20  17.119719        1
   RF   hybrid 30.0          38  14.683248        1
  XGB   hybrid 20.0          28  14.723036        1

===== ALL ROWS (sorted by week, sMAPE) =====
 week test_start model strategy    k  n_features  n_origins       MAE      RMSE     sMAPE  MAE_std  RMSE_std  sMAPE_std
weekD 2025-12-22    RF   hybrid 30.0          38          7 14.509444 17.778644 14.683248 6.420985  7.521644   5.634332
weekD 2025-12-22   XGB   hybrid 20.0          28          7 14.647250 17.747264 14.723036 6.510075  7.090931   5.777946
weekD 2025-12-22    RF      all  NaN         158          7 14.594167 17.983911 14.727217 5.845345  6.926994   5.597715
weekD 2025-12-22  LGBM      all  NaN         158          7 14.951592 18.143471 14.933351 6.499496  7.304284   5.599315
weekD 2025-12-22   XGB      all  NaN         158          7 15.191482 18.631297 14.972481 6.396380  7.473554   5.558568
weekD 2025-12-22    RF   hybrid 20.0          28          7 15.201664 18.536159 15.282179 6.065775  7.124615   4.759131
weekD 2025-12-22  LGBM   hybrid 20.0          28          7 15.381041 18.319473 15.390645 6.628671  7.185476   5.835052
weekD 2025-12-22  LGBM   hybrid 10.0          18          7 15.879363 19.765478 15.702867 5.756216  6.362768   4.761091
weekD 2025-12-22  LGBM   hybrid 30.0          38          7 15.543269 18.492875 15.766655 6.388656  6.924425   5.516213
weekD 2025-12-22   XGB   hybrid 30.0          38          7 16.366617 20.043754 16.537516 6.459248  6.823631   4.983107
weekD 2025-12-22    RF   hybrid 10.0          18          7 16.871917 21.336568 16.845448 4.864921  6.217011   3.451224
weekD 2025-12-22   MLP     topk 20.0          20          7 17.421513 22.513208 17.119719 8.218356 10.005390   7.407018
weekD 2025-12-22   XGB   hybrid 10.0          18          7 17.554532 21.655877 17.239525 6.006484  6.311356   5.285793
weekD 2025-12-22   MLP   hybrid 30.0          38          7 18.850587 22.809351 18.149243 6.607323  7.677085   6.216672
weekD 2025-12-22  LGBM     topk 20.0          20          7 18.544823 22.896398 18.210329 7.462514  9.251406   6.822542
weekD 2025-12-22   XGB     topk 20.0          20          7 18.693972 23.161607 18.437088 7.578728  8.983740   7.061670
weekD 2025-12-22   MLP   hybrid 20.0          28          7 18.607105 22.836678 18.587739 5.949506  6.457752   5.164865
weekD 2025-12-22   MLP     topk 30.0          30          7 19.085947 24.662353 18.835292 7.201313  8.784329   7.945327
weekD 2025-12-22    RF     topk 30.0          30          7 19.002258 23.165627 18.981337 6.694139  7.429148   6.564632
weekD 2025-12-22    RF     topk 20.0          20          7 19.389142 23.972692 19.323683 6.732859  7.571945   6.555762
weekD 2025-12-22  LGBM     topk 30.0          30          7 19.888409 24.547013 19.952610 7.036324  7.621919   6.245798
weekD 2025-12-22   MLP   hybrid 10.0          18          7 20.555402 25.548873 20.110719 7.531466  9.325060   6.624247
weekD 2025-12-22   MLP      all  NaN         158          7 19.862977 23.378781 20.370295 7.190242  8.549864   5.801736
weekD 2025-12-22  LGBM     topk 10.0          10          7 20.278275 24.464003 20.544674 2.327476  4.119282   4.115984
weekD 2025-12-22   XGB     topk 10.0          10          7 20.468667 24.778872 20.708864 2.874640  4.688663   4.481983
weekD 2025-12-22   MLP     topk 10.0          10          7 20.665832 24.908315 20.863734 3.199972  4.819268   4.537889
weekD 2025-12-22   XGB     topk 30.0          30          7 20.768176 26.368810 21.006323 7.251577  7.976053   5.855401
weekD 2025-12-22    RF     topk 10.0          10          7 20.923961 25.484116 21.011537 5.470343  6.823678   6.809407
