model,strategy,k,config,mean_metric,std_metric,wins,n_weeks,mean_n_features
LGBM,all,0,all,17.389260202193956,1.18402865556922,2,2,-1.0
LGBM,hybrid,0,all,18.830948907369226,1.934426553180097,0,2,-1.0
LGBM,topk,0,all,19.256882178253825,1.2422793745706067,0,2,-1.0
MLP,topk,0,all,21.964471680983294,1.9507404788437595,1,2,-1.0
MLP,all,0,all,24.215933597383234,1.537020363327083,0,2,-1.0
MLP,hybrid,0,all,25.19284297659018,5.185915649916142,1,2,-1.0
RF,all,0,all,17.696766291739877,1.1643939518234352,2,2,-1.0
RF,hybrid,0,all,19.46846287367482,0.798637202194491,0,2,-1.0
RF,topk,0,all,20.829307710768468,1.153091472933452,0,2,-1.0
XGB,all,0,all,17.71244385568405,1.0685192396019554,1,2,-1.0
XGB,hybrid,0,all,19.018793183876724,1.8748231015618801,1,2,-1.0
XGB,topk,0,all,20.02430785329362,1.8269325596720742,0,2,-1.0
