week,source,model,strategy,metric,k,n_features,metric_std,n_origins,config,win
weekB,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekB.json,LGBM,all,18.226494893666143,0,-1,7.372689442111808,24,all,1
weekB,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekB.json,LGBM,topk,20.96093306422079,0,-1,7.451085638694215,24,all,0
weekB,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekB.json,LGBM,hybrid,21.139458852808918,0,-1,7.131190014092279,24,all,0
weekB,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekB.json,MLP,topk,24.087287498491254,0,-1,9.082795477825506,24,all,1
weekB,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekB.json,MLP,all,25.302771119113626,0,-1,9.511654616262348,24,all,0
weekB,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekB.json,MLP,hybrid,29.52287112735229,0,-1,12.977303520183556,24,all,0
weekB,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekB.json,RF,all,18.520117151046833,0,-1,7.354506449245597,24,all,1
weekB,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekB.json,RF,hybrid,20.259457001644922,0,-1,7.76794265307575,24,all,0
weekB,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekB.json,RF,topk,21.956306440112673,0,-1,8.547858812224119,24,all,0
weekB,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekB.json,XGB,all,18.468001055834886,0,-1,7.393747683125459,24,all,1
weekB,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekB.json,XGB,hybrid,21.223027921142386,0,-1,7.217675095756142,24,all,0
weekB,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekB.json,XGB,topk,22.45855566900749,0,-1,8.142991686093739,24,all,0
weekC,models\feature_sets\fs_hourly_H24_topk10_rank24_168_weekC.json,LGBM,all,16.55202551072177,0,-1,5.313093643463179,17,all,1
weekC,models\feature_sets\fs_hourly_H24_topk10_rank24_168_weekC.json,LGBM,hybrid,16.602986285598664,0,-1,5.0738140558980795,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk30_rank24_168_weekC.json,LGBM,topk,17.978931077369978,0,-1,5.165723353835319,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk30_rank24_168_weekC.json,LGBM,hybrid,18.10886195691789,0,-1,5.069374538923381,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk10_rank24_168_weekC.json,LGBM,topk,19.01185431038833,0,-1,6.654411568342277,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekC.json,LGBM,topk,19.0758102610362,0,-1,4.996983143659011,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekC.json,LGBM,hybrid,19.472488534151438,0,-1,5.122531347543763,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk10_rank24_168_weekC.json,MLP,hybrid,19.025384183415067,0,-1,5.352787103767261,17,all,1
weekC,models\feature_sets\fs_hourly_H24_topk10_rank24_168_weekC.json,MLP,topk,19.409421432384114,0,-1,6.49160518843199,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekC.json,MLP,topk,21.80103443550938,0,-1,6.1991693061891215,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk30_rank24_168_weekC.json,MLP,topk,22.560143357548426,0,-1,5.624699676641128,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk30_rank24_168_weekC.json,MLP,hybrid,22.779412146335805,0,-1,7.245680496407911,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk10_rank24_168_weekC.json,MLP,all,23.129096075652843,0,-1,7.466755551759795,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekC.json,MLP,hybrid,29.44370444925755,0,-1,13.719818907965049,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk10_rank24_168_weekC.json,RF,all,16.873415432432925,0,-1,5.5379053680644805,17,all,1
weekC,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekC.json,RF,hybrid,18.44821156762545,0,-1,5.537234842249682,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk10_rank24_168_weekC.json,RF,hybrid,19.250976815824203,0,-1,5.401170026529572,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk30_rank24_168_weekC.json,RF,topk,19.577224319544165,0,-1,6.190452455952451,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk30_rank24_168_weekC.json,RF,hybrid,19.915206109604707,0,-1,6.044361515099955,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekC.json,RF,topk,20.135808444303493,0,-1,6.171054155820805,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk10_rank24_168_weekC.json,RF,topk,21.647891639113542,0,-1,6.819678608008843,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk10_rank24_168_weekC.json,XGB,hybrid,16.852953458433134,0,-1,4.850013811232019,17,all,1
weekC,models\feature_sets\fs_hourly_H24_topk10_rank24_168_weekC.json,XGB,all,16.956886655533214,0,-1,5.39680809526964,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk30_rank24_168_weekC.json,XGB,hybrid,18.294388118198448,0,-1,5.37017222575346,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk30_rank24_168_weekC.json,XGB,topk,18.392533104467237,0,-1,5.259499258191733,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk10_rank24_168_weekC.json,XGB,topk,18.880503153950343,0,-1,6.565473869482546,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekC.json,XGB,hybrid,19.70480323773292,0,-1,5.249426682255061,17,all,0
weekC,models\feature_sets\fs_hourly_H24_topk20_rank24_168_weekC.json,XGB,topk,20.365639485749405,0,-1,5.4752048997515,17,all,0
