feature,importance
y_roll168,0.053338037634408614
dow,0.03250873655913979
gen_wind_lag168,0.030862231182795703
y_roll24,0.02945631720430108
gen_wind_lag48,0.02891397849462366
gen_wind_lag24,0.028087365591397854
y_lag1,0.021906586021505376
gen_wind_lag1,0.017743279569892474
gen_wind_lag2,0.017565860215053766
dow_sin,0.016496639784946237
residual_load_lag12,0.015952956989247313
wind_onshore_fc_dayahead,0.01594959677419355
y_lag24,0.01503427419354839
hour,0.013834005376344088
y_lag168,0.013815860215053766
gen_fc_dayahead,0.01371236559139785
y_lag48,0.013602822580645163
w_patras_temperature_2m,0.013303091397849463
residual_load_lag168,0.013078629032258066
residual_load_lag6,0.01275201612903226
w_thessaloniki_temperature_2m,0.012698252688172044
residual_load_lag48,0.012081317204301075
w_larissa_temperature_2m,0.011944220430107528
w_gr_mean_cloud_cover,0.011758736559139785
residual_load_lag24,0.011732526881720431
residual_load_lag1,0.011705645161290324
w_heraklion_temperature_2m,0.011610887096774195
w_gr_mean_temperature_2m,0.011437500000000001
dow_cos,0.009875672043010753
y_lag15,0.009616263440860216
y_lag4,0.009605510752688173
w_athens_temperature_2m,0.009603494623655914
y_lag19,0.009546370967741937
y_lag17,0.009512096774193549
y_lag16,0.009464381720430109
y_lag5,0.009421370967741937
y_lag20,0.009315188172043012
y_lag18,0.00918212365591398
y_lag14,0.009116935483870969
y_lag6,0.009087365591397849
y_lag7,0.009020833333333334
w_patras_relative_humidity_2m,0.008980510752688173
hour_sin,0.008956317204301076
y_lag13,0.008889112903225808
y_lag8,0.008856182795698926
y_lag11,0.00883736559139785
w_heraklion_relative_humidity_2m,0.008819892473118282
y_lag12,0.008799059139784947
is_holiday,0.008790322580645162
y_lag3,0.008770161290322582
y_lag10,0.008770161290322582
y_lag22,0.008752688172043012
w_patras_wind_gusts_10m,0.008729838709677421
y_lag9,0.00863709677419355
y_lag21,0.008560483870967743
residual_load_lag3,0.008255376344086022
gen_solar_lag2,0.008227822580645163
y_lag23,0.008020833333333335
y_lag2,0.008019489247311828
w_larissa_relative_humidity_2m,0.00801209677419355
w_gr_mean_relative_humidity_2m,0.007941532258064517
w_athens_relative_humidity_2m,0.007911962365591399
w_patras_wind_speed_10m,0.007878360215053764
w_gr_mean_wind_gusts_10m,0.007340053763440861
w_thessaloniki_wind_gusts_10m,0.007262768817204303
gen_solar_lag1,0.00703225806451613
w_thessaloniki_relative_humidity_2m,0.00694489247311828
w_heraklion_wind_speed_10m,0.006745295698924732
w_thessaloniki_wind_speed_10m,0.00669489247311828
w_larissa_cloud_cover,0.006395161290322581
w_heraklion_wind_gusts_10m,0.0063534946236559154
w_gr_mean_wind_speed_10m,0.006339381720430109
residual_load_lag2,0.006241935483870968
w_thessaloniki_cloud_cover,0.006050403225806453
w_heraklion_cloud_cover,0.005890456989247312
gen_solar_lag24,0.005807795698924732
w_patras_cloud_cover,0.005774193548387097
w_athens_wind_gusts_10m,0.005586693548387097
w_athens_cloud_cover,0.005571908602150538
hour_cos,0.0054630376344086025
w_larissa_wind_gusts_10m,0.005410618279569893
gen_solar_lag168,0.005282930107526882
w_athens_wind_speed_10m,0.0052177419354838715
gen_solar_lag48,0.005047715053763441
w_larissa_wind_speed_10m,0.004811827956989248
load_lag1,0.00437231182795699
