feature,importance
y_lag1,0.7005326000267004
load_lag1,0.22386301904404687
hour_cos,0.030268722492368408
y_lag24,0.012923203768255549
y_lag12,0.004019226205317233
hour_sin,0.003809939663791546
gen_solar_lag2,0.0033125893246865067
hour,0.003253895677960565
y_lag2,0.0019292053366011153
y_roll24,0.0016653965410737752
gen_solar_lag1,0.0013335348363436317
y_lag3,0.0013129246790289054
dow,0.0011496865829077312
gen_solar_lag24,0.0011278035197177668
y_lag6,0.0009235790637950135
load_lag24,0.0008889092264614147
w_gr_mean_temperature_2m,0.0007787099377791121
y_lag168,0.0007540914785749952
gen_solar_lag48,0.000578283625093605
residual_load_lag12,0.0005673518319197202
gen_solar_lag168,0.0005501255632010194
w_larissa_temperature_2m,0.00024902005962949207
residual_load_lag1,0.0002470699039519407
dow_sin,0.0002385838992707613
load_lag2,0.00022912053457143847
w_gr_mean_shortwave_radiation,0.00019344738952939455
load_lag168,0.0001774071461175615
y_roll168,0.00016924528214708884
residual_load_lag6,0.00016389394205399498
is_holiday,0.00015791850386547175
w_athens_temperature_2m,0.0001556680636878408
y_lag48,0.00013350976445715955
gen_fc_dayahead,0.0001327864842187395
load_lag6,0.00013130371745917281
load_lag3,0.0001300701012209479
w_patras_temperature_2m,0.00010933830114678987
w_thessaloniki_temperature_2m,0.00010505646635435915
dow_cos,8.84967509302901e-05
solar_fc_dayahead,8.5343434938387e-05
w_larissa_shortwave_radiation,8.426388640540028e-05
w_athens_shortwave_radiation,7.934624552323986e-05
residual_load_lag3,7.208118401397301e-05
residual_load_lag2,6.795551057585375e-05
residual_load_lag24,6.661999801724542e-05
gen_wind_lag48,5.919029420153072e-05
gen_wind_lag24,5.697687319870713e-05
residual_load_lag168,5.6190489274090165e-05
residual_load_lag48,5.434244478641119e-05
w_heraklion_shortwave_radiation,5.3695658971854867e-05
gen_wind_lag1,4.956700644082324e-05
w_larissa_relative_humidity_2m,4.612405839953031e-05
gen_wind_lag168,4.509980663956969e-05
w_gr_mean_relative_humidity_2m,4.4373141168606674e-05
w_gr_mean_cloud_cover,4.3321663638311304e-05
w_heraklion_temperature_2m,4.053644351892025e-05
w_patras_relative_humidity_2m,3.671137940017151e-05
w_thessaloniki_shortwave_radiation,3.659344495402163e-05
w_gr_mean_wind_gusts_10m,3.16650018827057e-05
gen_wind_lag2,3.092666544618855e-05
w_athens_relative_humidity_2m,2.9583583265776058e-05
w_patras_shortwave_radiation,2.885774648550432e-05
w_thessaloniki_relative_humidity_2m,2.7405573444095288e-05
wind_onshore_fc_dayahead,2.6291717704154228e-05
w_athens_cloud_cover,2.619992346103501e-05
w_patras_wind_gusts_10m,2.5696538131810555e-05
w_gr_mean_wind_speed_10m,2.3889288386257794e-05
w_athens_wind_speed_10m,2.2453646844694703e-05
w_patras_wind_speed_10m,2.0878509584766232e-05
w_heraklion_wind_gusts_10m,1.9933282635529164e-05
w_heraklion_relative_humidity_2m,1.9914155885406914e-05
w_larissa_wind_gusts_10m,1.966847082243619e-05
load_lag12,1.8672323905824698e-05
w_athens_wind_gusts_10m,1.8090648833453922e-05
w_heraklion_wind_speed_10m,1.7974717527313838e-05
w_patras_cloud_cover,1.744128842072633e-05
w_larissa_cloud_cover,1.7223061233238197e-05
w_larissa_wind_speed_10m,1.68575210239357e-05
w_heraklion_cloud_cover,1.6110814419125187e-05
w_thessaloniki_wind_speed_10m,1.6017630669873722e-05
w_thessaloniki_wind_gusts_10m,1.4849844801394023e-05
w_gr_mean_precipitation,1.2904321994366643e-05
w_thessaloniki_cloud_cover,1.2736930578924743e-05
load_lag48,1.150915470551605e-05
w_athens_precipitation,8.405633986900135e-06
wind_onshore_fc_dayahead_missing,3.284666707187875e-06
w_larissa_precipitation,2.6656318456762903e-06
w_patras_precipitation,2.4114616942608394e-06
w_thessaloniki_precipitation,2.3188853828986004e-06
w_heraklion_precipitation,2.2828414045587608e-06
gen_fc_dayahead_missing,1.1222250331603536e-06
solar_fc_dayahead_missing,6.885915473371068e-07
w_gr_mean_temperature_2m_missing,0.0
w_gr_mean_relative_humidity_2m_missing,0.0
w_gr_mean_wind_speed_10m_missing,0.0
w_gr_mean_cloud_cover_missing,0.0
w_gr_mean_precipitation_missing,0.0
w_athens_precipitation_missing,0.0
w_athens_relative_humidity_2m_missing,0.0
w_athens_temperature_2m_missing,0.0
w_gr_mean_shortwave_radiation_missing,0.0
w_gr_mean_wind_gusts_10m_missing,0.0
w_thessaloniki_shortwave_radiation_missing,0.0
w_thessaloniki_wind_gusts_10m_missing,0.0
w_thessaloniki_wind_speed_10m_missing,0.0
w_thessaloniki_cloud_cover_missing,0.0
w_thessaloniki_precipitation_missing,0.0
w_thessaloniki_relative_humidity_2m_missing,0.0
w_thessaloniki_temperature_2m_missing,0.0
w_athens_shortwave_radiation_missing,0.0
w_athens_wind_gusts_10m_missing,0.0
w_athens_wind_speed_10m_missing,0.0
w_athens_cloud_cover_missing,0.0
w_heraklion_wind_gusts_10m_missing,0.0
w_heraklion_shortwave_radiation_missing,0.0
w_heraklion_wind_speed_10m_missing,0.0
w_heraklion_cloud_cover_missing,0.0
w_heraklion_precipitation_missing,0.0
w_patras_cloud_cover_missing,0.0
w_patras_precipitation_missing,0.0
w_patras_relative_humidity_2m_missing,0.0
w_patras_wind_speed_10m_missing,0.0
w_patras_temperature_2m_missing,0.0
w_patras_wind_gusts_10m_missing,0.0
w_patras_shortwave_radiation_missing,0.0
w_larissa_temperature_2m_missing,0.0
w_larissa_relative_humidity_2m_missing,0.0
w_larissa_precipitation_missing,0.0
w_larissa_cloud_cover_missing,0.0
w_larissa_wind_speed_10m_missing,0.0
w_larissa_wind_gusts_10m_missing,0.0
w_larissa_shortwave_radiation_missing,0.0
w_heraklion_temperature_2m_missing,0.0
w_heraklion_relative_humidity_2m_missing,0.0
