feature,importance
load_lag1,0.05013750793314999
hour,0.03107444232893778
hour_sin,0.029005946924288366
gen_solar_lag2,0.0264203276684766
gen_solar_lag1,0.024422349152622053
hour_cos,0.024336161844094994
load_lag2,0.024163787227040875
y_lag1,0.022698602982080877
residual_load_lag1,0.02268293256234868
y_lag24,0.021907246785605152
y_roll168,0.02176621300801542
y_roll24,0.021249089156853068
load_lag6,0.020512579429440018
y_lag6,0.0201286541460013
y_lag2,0.01979957533162526
y_lag12,0.01901605434501563
dow,0.018467589654388893
load_lag12,0.017057251878491567
residual_load_lag6,0.016861371631839157
w_gr_mean_temperature_2m,0.01675951390357991
gen_solar_lag24,0.01658713928652579
gen_solar_lag168,0.016289401311614132
gen_solar_lag48,0.016242390052417555
y_lag3,0.01606218022549734
y_lag48,0.015897640818309317
load_lag3,0.01587413518871103
residual_load_lag12,0.015803618299916163
y_lag168,0.015693925361790817
residual_load_lag2,0.014291422795759585
gen_wind_lag24,0.013507901809149958
residual_load_lag3,0.013390373661158514
residual_load_lag24,0.013029954007318085
gen_wind_lag168,0.01277139208173691
gen_fc_dayahead,0.01264602872387937
w_larissa_temperature_2m,0.012285609070038941
gen_wind_lag48,0.012050552774056053
residual_load_lag168,0.011165174059187176
load_lag24,0.011094657170392309
residual_load_lag48,0.011055481121061828
w_patras_temperature_2m,0.010969293812534768
w_athens_temperature_2m,0.010749907936284074
gen_wind_lag1,0.010569698109363859
w_thessaloniki_temperature_2m,0.009598132085967923
gen_wind_lag2,0.009433592678779901
dow_sin,0.008697082951366852
solar_fc_dayahead,0.008657906902036371
load_lag168,0.008595225223107602
w_heraklion_temperature_2m,0.008062430952213056
load_lag48,0.008046760532480863
dow_cos,0.007756857767435301
w_gr_mean_relative_humidity_2m,0.0075766479405150865
w_larissa_relative_humidity_2m,0.007224063496540755
w_gr_mean_cloud_cover,0.00666776359604792
w_heraklion_shortwave_radiation,0.006166310164617759
w_patras_relative_humidity_2m,0.0059312538686348715
wind_onshore_fc_dayahead,0.005884242609438294
w_gr_mean_shortwave_radiation,0.0052887666596149775
w_athens_relative_humidity_2m,0.0052417554004184005
w_gr_mean_wind_gusts_10m,0.005226084980686207
w_patras_wind_speed_10m,0.0051320624622930525
w_athens_shortwave_radiation,0.00511639204256086
w_heraklion_wind_speed_10m,0.005069380783364282
w_athens_wind_gusts_10m,0.00499102868470332
w_athens_wind_speed_10m,0.004959687845238934
w_heraklion_relative_humidity_2m,0.004944017425506742
