feature,importance
y_lag1,0.08865214676329783
y_lag2,0.051904554657785686
y_lag24,0.04654947300698242
y_lag168,0.03799648040569947
gen_fc_dayahead,0.027059246504058887
y_lag3,0.027002478854050372
y_lag48,0.026888943554033342
hour_sin,0.026283421953942513
wind_onshore_fc_dayahead,0.022669214903400382
y_lag12,0.0208526501031279
y_roll24,0.0208526501031279
solar_fc_dayahead,0.02073911480311087
hour_cos,0.018884704902832707
gas_lag168,0.018752247052812837
gen_solar_lag2,0.018430563702764583
residual_load_lag1,0.0171059852025659
dow,0.0166139989024921
y_lag6,0.014929891952239484
gen_wind_lag24,0.014135144852120272
y_roll168,0.013718848752057828
hour,0.01368100365205215
load_lag6,0.01298086930194713
gas_lag48,0.012829488901924424
residual_load_lag6,0.012659185951898877
residual_load_lag3,0.01264026340189604
gas_lag24,0.01158060060173709
load_lag3,0.010804776051620717
gen_solar_lag1,0.010123564251518535
gen_wind_lag1,0.009234204401385131
gas_price,0.009139591651370939
gen_wind_lag48,0.008874675951331202
w_gr_mean_shortwave_radiation,0.008855753401328364
load_lag12,0.008477302401271595
w_patras_temperature_2m,0.007909625901186443
residual_load_lag24,0.00783393570117509
gen_wind_lag168,0.00772040040115806
w_patras_shortwave_radiation,0.007341949401101292
gen_wind_lag2,0.007304104301095616
co2_lag168,0.006774272901016141
residual_load_lag168,0.006698582701004787
load_lag2,0.006622892500993434
w_larissa_shortwave_radiation,0.006357976800953696
gas_lag12,0.006339054250950858
load_lag1,0.00632013170094802
load_lag168,0.006187673850928151
gen_solar_lag24,0.006187673850928151
residual_load_lag12,0.005865990500879899
residual_load_lag2,0.005809222850871383
gas_lag6,0.0056767650008515145
w_gr_mean_wind_gusts_10m,0.005638919900845838
residual_load_lag48,0.005279391450791909
gas_lag2,0.005241546350786232
co2_lag48,0.00514693360077204
w_patras_wind_speed_10m,0.004957708100743656
w_thessaloniki_wind_speed_10m,0.004863095350729464
w_heraklion_temperature_2m,0.0048441728007266255
w_heraklion_wind_speed_10m,0.0048441728007266255
w_patras_wind_gusts_10m,0.004806327700720949
gen_solar_lag48,0.004768482600715273
w_athens_wind_speed_10m,0.004749560050712434
w_gr_mean_wind_speed_10m,0.004711714950706757
gas_lag1,0.004711714950706757
load_lag24,0.004692792400703919
co2_price,0.004654947300698242
gen_solar_lag168,0.0046171022006925655
w_larissa_temperature_2m,0.004522489450678373
w_larissa_wind_speed_10m,0.004503566900675535
w_heraklion_shortwave_radiation,0.004427876700664182
w_thessaloniki_temperature_2m,0.004371109050655666
w_thessaloniki_wind_gusts_10m,0.004352186500652828
w_athens_temperature_2m,0.0042386512006357974
load_lag48,0.00421972865063296
w_heraklion_wind_gusts_10m,0.004162961000624444
dow_sin,0.0041251159006187674
w_gr_mean_cloud_cover,0.00408727080061309
w_athens_relative_humidity_2m,0.004030503150604575
w_gr_mean_relative_humidity_2m,0.0038791227505818684
w_athens_wind_gusts_10m,0.0038412776505761916
co2_lag24,0.0038034325505705148
w_heraklion_relative_humidity_2m,0.003765587450564838
w_gr_mean_temperature_2m,0.003727742350559161
dow_cos,0.0035763619505364544
co2_lag12,0.0035195943005279394
gas_lag3,0.0035006717505251007
w_patras_relative_humidity_2m,0.0033871364505080703
w_larissa_relative_humidity_2m,0.0033871364505080703
w_athens_shortwave_radiation,0.0032546786004882017
w_patras_cloud_cover,0.0032357560504853635
w_thessaloniki_relative_humidity_2m,0.003216833500482525
w_larissa_wind_gusts_10m,0.003178988400476848
w_thessaloniki_cloud_cover,0.0031411433004711717
w_larissa_cloud_cover,0.0029897629004484645
w_heraklion_cloud_cover,0.0029329952504399495
w_athens_cloud_cover,0.002762692300414404
w_thessaloniki_shortwave_radiation,0.002762692300414404
load_fc,0.0022517834503377673
co2_lag1,0.00198686775029803
co2_lag6,0.001967945200295192
co2_lag3,0.0013056559501958484
w_gr_mean_precipitation,0.0012110432001816564
co2_lag2,0.0010028951501504344
w_patras_precipitation,0.0007379794501106969
solar_fc_dayahead_missing,0.000643366700096505
is_holiday,0.0003216833500482525
w_thessaloniki_precipitation,0.00011353530001703029
w_larissa_precipitation,7.569020001135352e-05
w_athens_precipitation,7.569020001135352e-05
w_heraklion_precipitation,1.892255000283838e-05
wind_onshore_fc_dayahead_missing,0.0
gen_fc_dayahead_missing,0.0
w_larissa_wind_gusts_10m_missing,0.0
w_larissa_wind_speed_10m_missing,0.0
w_heraklion_precipitation_missing,0.0
w_heraklion_relative_humidity_2m_missing,0.0
w_heraklion_temperature_2m_missing,0.0
w_larissa_shortwave_radiation_missing,0.0
w_athens_precipitation_missing,0.0
w_athens_relative_humidity_2m_missing,0.0
w_athens_temperature_2m_missing,0.0
w_gr_mean_shortwave_radiation_missing,0.0
w_gr_mean_wind_gusts_10m_missing,0.0
w_gr_mean_wind_speed_10m_missing,0.0
w_gr_mean_cloud_cover_missing,0.0
w_gr_mean_precipitation_missing,0.0
w_gr_mean_relative_humidity_2m_missing,0.0
w_gr_mean_temperature_2m_missing,0.0
w_larissa_cloud_cover_missing,0.0
w_larissa_precipitation_missing,0.0
w_larissa_relative_humidity_2m_missing,0.0
w_larissa_temperature_2m_missing,0.0
w_patras_shortwave_radiation_missing,0.0
w_patras_wind_gusts_10m_missing,0.0
w_patras_wind_speed_10m_missing,0.0
w_patras_cloud_cover_missing,0.0
w_patras_precipitation_missing,0.0
w_patras_relative_humidity_2m_missing,0.0
w_patras_temperature_2m_missing,0.0
w_thessaloniki_shortwave_radiation_missing,0.0
w_thessaloniki_wind_gusts_10m_missing,0.0
w_thessaloniki_wind_speed_10m_missing,0.0
w_thessaloniki_cloud_cover_missing,0.0
w_thessaloniki_precipitation_missing,0.0
w_thessaloniki_relative_humidity_2m_missing,0.0
w_thessaloniki_temperature_2m_missing,0.0
w_athens_shortwave_radiation_missing,0.0
w_athens_wind_gusts_10m_missing,0.0
w_athens_wind_speed_10m_missing,0.0
w_athens_cloud_cover_missing,0.0
w_heraklion_cloud_cover_missing,0.0
w_heraklion_wind_speed_10m_missing,0.0
w_heraklion_wind_gusts_10m_missing,0.0
w_heraklion_shortwave_radiation_missing,0.0
