feature,importance
y_lag1,0.882565187824128
y_lag24,0.04773935877949007
y_lag168,0.005584128116575787
y_lag2,0.0032862557888446143
y_lag48,0.0026272331685053716
gen_fc_dayahead,0.0025510597475602993
hour_sin,0.002394238776297778
gen_solar_lag2,0.002235249614759689
solar_fc_dayahead,0.0022287456913392535
hour_cos,0.0021330883611183774
y_roll24,0.0021177026659712876
y_lag3,0.0018771002607644988
gas_lag48,0.0017476591098456497
hour,0.0017320028901266539
y_lag12,0.0013340406759326606
gen_solar_lag1,0.0013193601133124936
wind_onshore_fc_dayahead,0.0012252917589864348
y_roll168,0.0011601792272291044
dow,0.0011043485597145735
y_lag6,0.001008664598412696
gas_lag168,0.0009732945116051118
load_lag6,0.0009272859942935926
residual_load_lag1,0.0008970386302702534
gas_price,0.0008528091618679852
gen_wind_lag48,0.0008315272647311815
residual_load_lag6,0.0007635895332118249
co2_lag168,0.00070020443849113
gas_lag24,0.0006902850673012414
w_gr_mean_shortwave_radiation,0.000689859819183193
gen_wind_lag24,0.000684999722392406
w_thessaloniki_temperature_2m,0.0006813381587966801
residual_load_lag3,0.0006626796429869025
load_lag12,0.0006176349831862824
residual_load_lag12,0.0006105865871493693
load_lag3,0.000594397379768385
w_patras_temperature_2m,0.0005604487558864993
w_heraklion_temperature_2m,0.000544639363341617
w_thessaloniki_wind_gusts_10m,0.0005362037860812207
w_heraklion_wind_gusts_10m,0.0005112006606846051
residual_load_lag168,0.0004931985997524436
w_heraklion_wind_speed_10m,0.0004887078957374799
gas_lag12,0.00047752443963218
w_athens_wind_speed_10m,0.00046976911010853913
w_gr_mean_wind_gusts_10m,0.00045899303716809075
w_athens_temperature_2m,0.0004587370646561372
gen_wind_lag168,0.00045592795416226164
w_athens_wind_gusts_10m,0.00045397559059499084
gen_solar_lag24,0.00044930363525272284
load_lag168,0.00043789285078736905
residual_load_lag24,0.00042604340396587787
w_thessaloniki_wind_speed_10m,0.00042009543205949717
load_lag2,0.0004191199664368739
w_patras_shortwave_radiation,0.0003962617974545965
load_lag1,0.0003857215579841611
w_gr_mean_wind_speed_10m,0.0003822721751798554
w_larissa_shortwave_radiation,0.000375472601901527
w_larissa_wind_speed_10m,0.0003717019031763321
residual_load_lag48,0.0003711323911177579
w_patras_wind_gusts_10m,0.000362205729613658
gen_wind_lag1,0.0003602551354237166
w_heraklion_relative_humidity_2m,0.00035878521930562463
load_lag48,0.0003585643533333453
co2_lag48,0.00035762889509572885
gen_wind_lag2,0.00034226140148688406
w_larissa_wind_gusts_10m,0.00033187107632336735
w_athens_relative_humidity_2m,0.00032620203969627984
w_larissa_relative_humidity_2m,0.00032067201309525414
w_gr_mean_cloud_cover,0.0003204166876509848
w_patras_wind_speed_10m,0.00031999491596910643
residual_load_lag2,0.00031860056497183656
w_heraklion_cloud_cover,0.00031738198484255185
gas_lag1,0.0003150823832708175
load_lag24,0.0003080942141939706
w_patras_relative_humidity_2m,0.0003039413986482711
co2_lag24,0.0003022862780011105
co2_price,0.00030226527435675923
gen_solar_lag48,0.00030114311745116893
w_thessaloniki_relative_humidity_2m,0.0002901057640109911
w_gr_mean_relative_humidity_2m,0.0002860503195896281
w_gr_mean_temperature_2m,0.00027065816552839726
w_larissa_temperature_2m,0.0002680350361150365
gen_solar_lag168,0.0002630696605486351
w_larissa_cloud_cover,0.000250202451927394
w_heraklion_shortwave_radiation,0.00023257561839677316
w_patras_cloud_cover,0.0002172104248975723
w_thessaloniki_cloud_cover,0.00021248492320744979
w_thessaloniki_shortwave_radiation,0.00020354393653937758
dow_cos,0.00019601861438736347
w_athens_shortwave_radiation,0.00018932629430040314
w_athens_cloud_cover,0.00018752964860998072
co2_lag12,0.00018436056310040078
gas_lag6,0.0001747053892026823
dow_sin,0.00017210883592546768
w_gr_mean_precipitation,0.00013277229824465984
gas_lag2,0.0001011137903821067
co2_lag1,8.102590613345567e-05
co2_lag6,8.044946926122302e-05
gas_lag3,5.9190192557032616e-05
w_patras_precipitation,4.802885552743336e-05
co2_lag3,3.755419693329664e-05
co2_lag2,3.124911447342726e-05
load_fc,2.374999333649856e-05
w_larissa_precipitation,2.148502345122351e-05
w_thessaloniki_precipitation,1.7504809603416023e-05
solar_fc_dayahead_missing,1.6937695781495266e-05
is_holiday,1.1074854630010355e-05
w_heraklion_precipitation,1.0348941410826396e-05
w_athens_precipitation,8.581287480181034e-06
wind_onshore_fc_dayahead_missing,5.246445023505866e-07
gen_fc_dayahead_missing,0.0
w_larissa_wind_gusts_10m_missing,0.0
w_larissa_wind_speed_10m_missing,0.0
w_heraklion_precipitation_missing,0.0
w_heraklion_relative_humidity_2m_missing,0.0
w_heraklion_temperature_2m_missing,0.0
w_larissa_shortwave_radiation_missing,0.0
w_athens_precipitation_missing,0.0
w_athens_relative_humidity_2m_missing,0.0
w_athens_temperature_2m_missing,0.0
w_gr_mean_shortwave_radiation_missing,0.0
w_gr_mean_wind_gusts_10m_missing,0.0
w_gr_mean_wind_speed_10m_missing,0.0
w_gr_mean_cloud_cover_missing,0.0
w_gr_mean_precipitation_missing,0.0
w_gr_mean_relative_humidity_2m_missing,0.0
w_gr_mean_temperature_2m_missing,0.0
w_larissa_cloud_cover_missing,0.0
w_larissa_precipitation_missing,0.0
w_larissa_relative_humidity_2m_missing,0.0
w_larissa_temperature_2m_missing,0.0
w_patras_shortwave_radiation_missing,0.0
w_patras_wind_gusts_10m_missing,0.0
w_patras_wind_speed_10m_missing,0.0
w_patras_cloud_cover_missing,0.0
w_patras_precipitation_missing,0.0
w_patras_relative_humidity_2m_missing,0.0
w_patras_temperature_2m_missing,0.0
w_thessaloniki_shortwave_radiation_missing,0.0
w_thessaloniki_wind_gusts_10m_missing,0.0
w_thessaloniki_wind_speed_10m_missing,0.0
w_thessaloniki_cloud_cover_missing,0.0
w_thessaloniki_precipitation_missing,0.0
w_thessaloniki_relative_humidity_2m_missing,0.0
w_thessaloniki_temperature_2m_missing,0.0
w_athens_shortwave_radiation_missing,0.0
w_athens_wind_gusts_10m_missing,0.0
w_athens_wind_speed_10m_missing,0.0
w_athens_cloud_cover_missing,0.0
w_heraklion_cloud_cover_missing,0.0
w_heraklion_wind_speed_10m_missing,0.0
w_heraklion_wind_gusts_10m_missing,0.0
w_heraklion_shortwave_radiation_missing,0.0
