feature,importance
y_lag1,0.20646764791870878
load_lag1,0.20524819777355324
residual_load_lag1,0.19712066404593187
hour_cos,0.05622290353704868
gen_solar_lag1,0.0516840497752701
hour_sin,0.04065376210468978
gen_wind_lag1,0.03015270604534171
residual_load_lag3,0.021706641035143543
y_roll24,0.021547245457347496
gen_solar_lag2,0.016626314384714486
y_roll168,0.014474510738754937
residual_load_lag2,0.013587182423384705
gen_solar_lag24,0.010382049938530482
dow,0.009527637055382444
solar_fc_dayahead,0.009438361756077093
residual_load_lag24,0.008858436207298348
hour,0.005682309651525296
y_lag24,0.005569252972334649
w_athens_temperature_2m_missing,0.005346748512737589
residual_load_lag6,0.005036665553310271
y_lag3,0.0036883636714008026
load_lag2,0.003509661398526089
w_patras_temperature_2m,0.0034847097080169948
load_lag24,0.003307015761258742
residual_load_lag12,0.003271300451132738
residual_load_lag48,0.0031953546499472593
w_gr_mean_shortwave_radiation,0.00292265475110847
w_larissa_temperature_2m,0.0029192072095924346
w_thessaloniki_cloud_cover_missing,0.0028663326751833676
w_larissa_shortwave_radiation,0.002475755450760356
gen_solar_lag48,0.0021852478015724625
is_holiday,0.0021123022419928736
load_lag12,0.002031352875800261
load_lag3,0.0019341793812717057
w_athens_cloud_cover_missing,0.0017387165337884559
y_lag6,0.001579456674860845
gen_fc_dayahead,0.0014490707111759012
solar_fc_dayahead_missing,0.0014227555987934562
w_heraklion_temperature_2m,0.0014036660460638106
load_lag168,0.001343361550447913
load_lag6,0.0012702894453722714
gen_wind_lag24,0.0012353583801807514
w_athens_temperature_2m,0.0012085608424964424
dow_cos,0.0010914127216123605
y_lag2,0.0010800438554299156
w_athens_precipitation_missing,0.0010320883655541668
w_athens_relative_humidity_2m,0.0009246603735763721
w_thessaloniki_wind_gusts_10m_missing,0.0008787560340861284
gen_solar_lag168,0.0007976493092748141
w_thessaloniki_temperature_2m,0.0007923104065436314
y_lag168,0.000687890418256055
w_patras_relative_humidity_2m,0.0006216342464737866
w_gr_mean_precipitation,0.0004981505790709938
dow_sin,0.0004421697996417521
gen_wind_lag48,0.00042402169365550045
w_patras_wind_speed_10m,0.0003669292504618385
wind_onshore_fc_dayahead,0.00030686765320205267
w_athens_wind_gusts_10m,0.00028994885752100076
w_heraklion_cloud_cover,0.00023549756152684058
w_gr_mean_wind_gusts_10m,0.00019813429817360013
y_lag48,0.00018926929222436696
w_gr_mean_temperature_2m,0.00015654661842970735
w_athens_shortwave_radiation_missing,0.0001515335664306096
w_athens_wind_gusts_10m_missing,0.00014670088488607697
w_thessaloniki_wind_speed_10m_missing,0.0001439432280167332
w_heraklion_precipitation,0.00013154768897304643
wind_onshore_fc_dayahead_missing,0.0001184605011725941
w_patras_wind_gusts_10m,0.00011127931868879366
w_larissa_relative_humidity_2m,8.445273199191662e-05
w_athens_shortwave_radiation,8.170193555064075e-05
gen_wind_lag2,6.491207671485191e-05
w_larissa_cloud_cover,4.7606000068653326e-05
w_athens_precipitation,1.2347241630073067e-05
y_lag12,3.5727933313676775e-06
w_thessaloniki_shortwave_radiation_missing,0.0
w_thessaloniki_relative_humidity_2m_missing,0.0
w_thessaloniki_temperature_2m_missing,0.0
w_heraklion_wind_speed_10m,0.0
w_heraklion_wind_gusts_10m,0.0
w_heraklion_shortwave_radiation,0.0
w_gr_mean_temperature_2m_missing,0.0
w_gr_mean_relative_humidity_2m_missing,0.0
w_gr_mean_precipitation_missing,0.0
w_gr_mean_cloud_cover_missing,0.0
w_gr_mean_wind_speed_10m_missing,0.0
w_heraklion_relative_humidity_2m,0.0
w_larissa_wind_gusts_10m,0.0
w_larissa_wind_speed_10m,0.0
w_gr_mean_cloud_cover,0.0
w_gr_mean_relative_humidity_2m,0.0
gen_fc_dayahead_missing,0.0
w_thessaloniki_relative_humidity_2m,0.0
w_thessaloniki_precipitation,0.0
w_thessaloniki_wind_gusts_10m,0.0
w_thessaloniki_shortwave_radiation,0.0
w_thessaloniki_cloud_cover,0.0
w_thessaloniki_wind_speed_10m,0.0
w_patras_precipitation,0.0
w_patras_cloud_cover,0.0
w_patras_shortwave_radiation,0.0
w_larissa_precipitation,0.0
w_athens_cloud_cover,0.0
w_gr_mean_wind_speed_10m,0.0
w_athens_wind_speed_10m,0.0
w_thessaloniki_precipitation_missing,0.0
w_athens_relative_humidity_2m_missing,0.0
w_gr_mean_shortwave_radiation_missing,0.0
w_gr_mean_wind_gusts_10m_missing,0.0
w_athens_wind_speed_10m_missing,0.0
w_heraklion_wind_gusts_10m_missing,0.0
w_heraklion_wind_speed_10m_missing,0.0
w_heraklion_cloud_cover_missing,0.0
w_heraklion_precipitation_missing,0.0
w_heraklion_shortwave_radiation_missing,0.0
w_larissa_shortwave_radiation_missing,0.0
w_heraklion_temperature_2m_missing,0.0
w_heraklion_relative_humidity_2m_missing,0.0
w_patras_cloud_cover_missing,0.0
w_patras_precipitation_missing,0.0
w_patras_relative_humidity_2m_missing,0.0
w_patras_wind_speed_10m_missing,0.0
w_patras_temperature_2m_missing,0.0
w_patras_wind_gusts_10m_missing,0.0
w_patras_shortwave_radiation_missing,0.0
w_larissa_temperature_2m_missing,0.0
w_larissa_relative_humidity_2m_missing,0.0
w_larissa_precipitation_missing,0.0
w_larissa_cloud_cover_missing,0.0
w_larissa_wind_speed_10m_missing,0.0
w_larissa_wind_gusts_10m_missing,0.0
load_lag48,0.0
residual_load_lag168,0.0
gen_wind_lag168,0.0
