feature,importance
y_lag1,0.23721497551706652
load_lag1,0.22321800070119394
residual_load_lag1,0.2212353755146604
hour_cos,0.04656682207994527
hour_sin,0.035441836867270954
gen_wind_lag1,0.032201904634439095
gen_solar_lag1,0.026083830109628118
y_roll168,0.024692889700549333
y_roll24,0.020766999297858326
residual_load_lag3,0.020657963887353376
gen_solar_lag2,0.013487391395337858
dow,0.011446788889598557
residual_load_lag2,0.0112393620883854
residual_load_lag24,0.008004256487292976
load_lag24,0.005517776485135612
solar_fc_dayahead_missing,0.005252931087684112
w_patras_shortwave_radiation,0.0037654925612983694
load_lag2,0.0035854556536230953
residual_load_lag6,0.0035132498101431934
w_heraklion_temperature_2m,0.0030419930948650145
y_lag24,0.0029110169924100216
y_lag12,0.0028294400501728905
load_lag12,0.0027813662357270754
gen_wind_lag24,0.0022539237631321427
y_lag3,0.002253629590510898
is_holiday,0.0021589167173478785
load_lag3,0.002037496978387259
w_larissa_shortwave_radiation,0.0020204364307328314
dow_cos,0.0017647801726117594
dow_sin,0.0015344229272755765
w_thessaloniki_relative_humidity_2m_missing,0.001516501534551855
w_athens_wind_speed_10m_missing,0.0013631765133987658
y_lag6,0.001278754619415505
load_lag6,0.0012203056449744142
w_heraklion_cloud_cover,0.0011648496081365636
gen_wind_lag2,0.0011560522945205406
w_athens_temperature_2m,0.000936809050641539
w_thessaloniki_temperature_2m_missing,0.0007517910402671399
load_lag48,0.0007284538337740637
w_larissa_wind_gusts_10m,0.000720974041967614
w_thessaloniki_cloud_cover_missing,0.0007167414874645914
w_athens_relative_humidity_2m,0.0006775442722438532
w_athens_temperature_2m_missing,0.0006618712018282055
y_lag48,0.0005448652655280947
w_athens_wind_gusts_10m,0.0005132134462483707
w_patras_wind_gusts_10m,0.0005084883168242877
w_larissa_relative_humidity_2m,0.000501538671694535
gen_wind_lag48,0.00047550257470134987
w_athens_shortwave_radiation_missing,0.0004753793159128117
w_larissa_cloud_cover,0.0004727508410749912
w_gr_mean_wind_gusts_10m,0.00041953383820473515
hour,0.00041325793247478016
w_athens_relative_humidity_2m_missing,0.00035794481893008717
w_heraklion_wind_gusts_10m,0.0003266724409108001
w_thessaloniki_precipitation_missing,0.0003036828777557933
w_thessaloniki_temperature_2m,0.0002969457347940571
w_athens_shortwave_radiation,0.0002906855606677956
w_patras_temperature_2m,0.0002802979325397992
w_athens_precipitation,0.000255000425972288
residual_load_lag12,0.00017262585795625404
w_patras_cloud_cover,0.00016596641070745205
w_gr_mean_temperature_2m,0.00014705844560298215
w_thessaloniki_precipitation,0.00011398525919353864
w_athens_wind_gusts_10m_missing,0.00010656228525362915
w_patras_wind_speed_10m,9.808240694942978e-05
w_thessaloniki_shortwave_radiation,9.753874615572961e-05
w_thessaloniki_wind_gusts_10m_missing,8.203893257759694e-05
w_athens_wind_speed_10m,6.820901199609167e-05
w_larissa_precipitation,4.080485123251905e-05
w_heraklion_precipitation,3.871535117878656e-05
w_patras_relative_humidity_2m,2.973331673744554e-05
wind_onshore_fc_dayahead,2.2305405751694455e-05
wind_onshore_fc_dayahead_missing,6.0628596501090165e-06
gen_fc_dayahead,0.0
solar_fc_dayahead,0.0
w_athens_cloud_cover_missing,0.0
w_athens_precipitation_missing,0.0
w_heraklion_relative_humidity_2m,0.0
w_heraklion_wind_speed_10m,0.0
w_heraklion_shortwave_radiation,0.0
w_gr_mean_temperature_2m_missing,0.0
w_gr_mean_wind_gusts_10m_missing,0.0
w_gr_mean_shortwave_radiation_missing,0.0
w_gr_mean_cloud_cover_missing,0.0
w_larissa_wind_speed_10m,0.0
w_athens_cloud_cover,0.0
w_gr_mean_cloud_cover,0.0
w_thessaloniki_cloud_cover,0.0
w_gr_mean_relative_humidity_2m,0.0
w_gr_mean_precipitation,0.0
w_gr_mean_shortwave_radiation,0.0
w_gr_mean_wind_speed_10m,0.0
gen_fc_dayahead_missing,0.0
w_thessaloniki_wind_gusts_10m,0.0
w_thessaloniki_relative_humidity_2m,0.0
w_patras_precipitation,0.0
w_thessaloniki_wind_speed_10m,0.0
w_gr_mean_relative_humidity_2m_missing,0.0
w_gr_mean_precipitation_missing,0.0
w_gr_mean_wind_speed_10m_missing,0.0
w_larissa_temperature_2m,0.0
w_thessaloniki_shortwave_radiation_missing,0.0
w_thessaloniki_wind_speed_10m_missing,0.0
y_lag2,0.0
w_heraklion_wind_speed_10m_missing,0.0
w_heraklion_wind_gusts_10m_missing,0.0
w_heraklion_shortwave_radiation_missing,0.0
w_heraklion_cloud_cover_missing,0.0
w_heraklion_precipitation_missing,0.0
w_larissa_relative_humidity_2m_missing,0.0
w_larissa_precipitation_missing,0.0
w_larissa_cloud_cover_missing,0.0
w_larissa_wind_speed_10m_missing,0.0
w_larissa_wind_gusts_10m_missing,0.0
w_larissa_shortwave_radiation_missing,0.0
w_heraklion_temperature_2m_missing,0.0
w_heraklion_relative_humidity_2m_missing,0.0
w_patras_cloud_cover_missing,0.0
w_patras_precipitation_missing,0.0
w_patras_wind_gusts_10m_missing,0.0
w_patras_wind_speed_10m_missing,0.0
w_patras_relative_humidity_2m_missing,0.0
w_patras_temperature_2m_missing,0.0
w_patras_shortwave_radiation_missing,0.0
w_larissa_temperature_2m_missing,0.0
load_lag168,0.0
y_lag168,0.0
residual_load_lag48,0.0
residual_load_lag168,0.0
gen_solar_lag48,0.0
gen_solar_lag24,0.0
gen_solar_lag168,0.0
gen_wind_lag168,0.0
