feature,importance
gen_fc_dayahead,0.15947929827963814
hour_cos,0.0810410042867466
w_gr_mean_relative_humidity_2m,0.06549117421171988
w_heraklion_temperature_2m,0.05606442805798826
w_gr_mean_temperature_2m,0.046352895941392795
gen_wind_lag24,0.043223343417231615
w_athens_relative_humidity_2m,0.039719189271585624
w_patras_temperature_2m,0.038698790898887045
w_larissa_temperature_2m,0.03426645317891033
load_lag12,0.033496424834885546
w_heraklion_shortwave_radiation,0.028998795329049188
w_thessaloniki_relative_humidity_2m,0.02417857404872299
load_lag168,0.023970706332950453
gen_wind_lag2,0.023700864332295145
w_athens_cloud_cover_missing,0.02015129653035199
y_lag168,0.02005872051914298
solar_fc_dayahead,0.019705002198994407
w_heraklion_relative_humidity_2m,0.017346195715984728
residual_load_lag168,0.016222727185120307
is_holiday,0.014120577486451225
residual_load_lag2,0.013561581982461223
gen_solar_lag2,0.013559546271346215
wind_onshore_fc_dayahead,0.013269591349368963
w_gr_mean_wind_speed_10m,0.013025833957376068
w_thessaloniki_relative_humidity_2m_missing,0.012523282056346719
gen_wind_lag48,0.011186063783271511
w_thessaloniki_cloud_cover,0.009566736573732287
w_thessaloniki_temperature_2m_missing,0.009064649262894808
w_patras_wind_gusts_10m,0.008667692882508859
w_heraklion_precipitation,0.007769011382178832
load_lag6,0.007498442096210476
w_athens_cloud_cover,0.006370607979387636
w_athens_shortwave_radiation_missing,0.006122895323048892
w_athens_precipitation_missing,0.006072596401772421
w_thessaloniki_wind_speed_10m_missing,0.005722734788136659
co2_price,0.005374179031320683
w_athens_relative_humidity_2m_missing,0.004560695716472319
co2_lag2,0.0043505223937928186
co2_lag24,0.004094664106938596
w_heraklion_cloud_cover,0.004029483827056671
gen_solar_lag168,0.003907385556258844
w_patras_precipitation,0.003832215928832985
co2_lag1,0.00325156594610068
w_thessaloniki_temperature_2m,0.0032431654838280346
gen_fc_dayahead_missing,0.003243036319764442
w_thessaloniki_cloud_cover_missing,0.0019967435850998935
co2_lag3,0.0018386122651116183
gas_lag48,0.0014455018661334149
residual_load_lag24,0.0012365188403107232
wind_onshore_fc_dayahead_missing,0.0010334726310476342
gas_lag6,0.000908335873798876
gas_price,0.0005834294206334644
gas_lag168,0.000422634694880876
co2_lag12,0.00038010836452662534
w_heraklion_wind_speed_10m,0.0
w_larissa_cloud_cover,0.0
w_patras_cloud_cover,0.0
w_larissa_wind_speed_10m,0.0
w_larissa_wind_gusts_10m,0.0
w_larissa_shortwave_radiation,0.0
w_patras_shortwave_radiation,0.0
w_larissa_relative_humidity_2m,0.0
w_larissa_precipitation,0.0
w_patras_relative_humidity_2m,0.0
w_athens_wind_speed_10m,0.0
w_athens_wind_gusts_10m,0.0
w_athens_shortwave_radiation,0.0
w_gr_mean_precipitation,0.0
w_gr_mean_cloud_cover,0.0
w_gr_mean_wind_gusts_10m,0.0
w_gr_mean_shortwave_radiation,0.0
w_athens_temperature_2m,0.0
solar_fc_dayahead_missing,0.0
w_patras_wind_speed_10m,0.0
w_athens_precipitation,0.0
w_thessaloniki_precipitation,0.0
w_thessaloniki_wind_gusts_10m,0.0
w_thessaloniki_wind_speed_10m,0.0
w_thessaloniki_shortwave_radiation,0.0
w_gr_mean_cloud_cover_missing,0.0
w_larissa_relative_humidity_2m_missing,0.0
w_larissa_temperature_2m_missing,0.0
w_patras_shortwave_radiation_missing,0.0
w_patras_wind_gusts_10m_missing,0.0
w_patras_wind_speed_10m_missing,0.0
w_larissa_precipitation_missing,0.0
w_larissa_wind_speed_10m_missing,0.0
w_larissa_cloud_cover_missing,0.0
w_heraklion_precipitation_missing,0.0
w_heraklion_cloud_cover_missing,0.0
w_heraklion_wind_gusts_10m_missing,0.0
w_heraklion_wind_speed_10m_missing,0.0
w_larissa_shortwave_radiation_missing,0.0
w_heraklion_temperature_2m_missing,0.0
w_heraklion_relative_humidity_2m_missing,0.0
w_gr_mean_wind_speed_10m_missing,0.0
w_athens_wind_gusts_10m_missing,0.0
w_athens_wind_speed_10m_missing,0.0
w_athens_temperature_2m_missing,0.0
w_gr_mean_shortwave_radiation_missing,0.0
w_thessaloniki_precipitation_missing,0.0
w_thessaloniki_wind_gusts_10m_missing,0.0
w_thessaloniki_shortwave_radiation_missing,0.0
w_patras_temperature_2m_missing,0.0
w_patras_relative_humidity_2m_missing,0.0
w_patras_precipitation_missing,0.0
w_patras_cloud_cover_missing,0.0
w_gr_mean_precipitation_missing,0.0
w_gr_mean_wind_gusts_10m_missing,0.0
w_heraklion_wind_gusts_10m,0.0
w_gr_mean_temperature_2m_missing,0.0
w_gr_mean_relative_humidity_2m_missing,0.0
load_lag2,0.0
load_lag3,0.0
y_lag48,0.0
load_lag1,0.0
y_lag24,0.0
y_lag3,0.0
y_lag6,0.0
y_lag12,0.0
y_lag1,0.0
dow_cos,0.0
dow_sin,0.0
y_lag2,0.0
w_heraklion_shortwave_radiation_missing,0.0
hour,0.0
dow,0.0
hour_sin,0.0
w_larissa_wind_gusts_10m_missing,0.0
gas_lag12,0.0
gas_lag2,0.0
gas_lag1,0.0
residual_load_lag48,0.0
gas_lag3,0.0
residual_load_lag6,0.0
residual_load_lag12,0.0
load_lag24,0.0
gas_lag24,0.0
co2_lag6,0.0
co2_lag48,0.0
gen_solar_lag1,0.0
residual_load_lag3,0.0
load_lag48,0.0
residual_load_lag1,0.0
gen_solar_lag48,0.0
gen_solar_lag24,0.0
co2_lag168,0.0
gen_wind_lag1,0.0
gen_wind_lag168,0.0
y_roll24,0.0
y_roll168,0.0
load_fc,0.0
load_pred_h01,0.0
load_pred_h02,0.0
load_pred_h03,0.0
load_pred_h04,0.0
load_pred_h05,0.0
load_pred_h06,0.0
load_pred_h07,0.0
load_pred_h08,0.0
load_pred_h09,0.0
load_pred_h10,0.0
load_pred_h11,0.0
load_pred_h12,0.0
load_pred_h13,0.0
load_pred_h14,0.0
load_pred_h15,0.0
load_pred_h16,0.0
load_pred_h17,0.0
load_pred_h18,0.0
load_pred_h19,0.0
load_pred_h20,0.0
load_pred_h21,0.0
load_pred_h22,0.0
load_pred_h23,0.0
load_pred_h24,0.0
