feature,importance
y_lag1,0.33153611102762
gen_solar_lag1,0.10179166960475154
solar_fc_dayahead,0.06724571778920571
residual_load_lag1,0.04712666623096512
hour_cos,0.03511539984080964
residual_load_lag3,0.0338122321620182
gen_fc_dayahead,0.03365342545567712
wind_onshore_fc_dayahead,0.027684698229305416
y_lag2,0.02723259395132036
y_lag24,0.023889941859516338
residual_load_lag2,0.022909389757237837
gen_solar_lag2,0.018787463845120058
load_lag1,0.018587609667891553
y_lag48,0.014658591635548467
dow,0.013452078652909361
load_lag2,0.012272023391864154
w_patras_shortwave_radiation,0.010938888468875427
y_lag168,0.01034495714226505
load_lag12,0.008590006210590327
residual_load_lag6,0.007328882615640748
w_thessaloniki_relative_humidity_2m,0.00716724082642404
gen_wind_lag24,0.0067198927846184005
residual_load_lag24,0.00594623151197937
hour,0.005624011892291876
y_lag3,0.005296710352375928
y_roll24,0.0051746071349406
gen_wind_lag48,0.005158656099255167
load_lag168,0.0048981802247304975
residual_load_lag12,0.004843427662483001
y_lag12,0.004740240216512124
residual_load_lag168,0.0044119015148757264
gen_solar_lag48,0.0037837210464318036
solar_fc_dayahead_missing,0.0035509291412820785
w_patras_wind_speed_10m,0.0034152947465960733
residual_load_lag48,0.0032371602208381015
hour_sin,0.003111687854280961
gen_wind_lag2,0.0031057485684454498
load_lag24,0.002979888139551161
gen_solar_lag24,0.0029650535469229514
w_larissa_wind_gusts_10m,0.0028771998920873692
w_gr_mean_relative_humidity_2m,0.0028491613179297695
w_athens_relative_humidity_2m,0.0028245808261836464
w_thessaloniki_temperature_2m_missing,0.0025731766980930278
w_athens_temperature_2m,0.0024723470321505897
w_heraklion_shortwave_radiation,0.00230100695152627
gen_wind_lag168,0.0020628470304092854
w_larissa_temperature_2m,0.0017752770047333533
w_patras_wind_gusts_10m,0.0017680339725071612
is_holiday,0.0017353293944349217
w_athens_wind_gusts_10m,0.0016715531985575132
w_larissa_cloud_cover,0.001623325351945968
w_patras_temperature_2m,0.0015867940468081503
w_larissa_wind_speed_10m,0.001477718548072881
w_heraklion_relative_humidity_2m,0.0014533120259509994
w_thessaloniki_shortwave_radiation_missing,0.0014404834612150327
w_larissa_shortwave_radiation,0.0014313318928371296
load_lag6,0.0011731627048757265
w_gr_mean_temperature_2m,0.0010228326824646354
gen_solar_lag168,0.001001769324534684
w_heraklion_cloud_cover,0.0009841121281950163
dow_sin,0.0009178200822358648
y_lag6,0.0007898881218827866
w_patras_precipitation,0.0006114913596423124
w_thessaloniki_precipitation_missing,0.0006004522776601087
y_roll168,0.0005997220501629548
load_lag48,0.0005861615289919791
w_athens_cloud_cover,0.0005734692467879923
w_gr_mean_shortwave_radiation,0.0005733574562439279
w_gr_mean_wind_gusts_10m,0.0005157509057744405
gen_fc_dayahead_missing,0.0003964917841028138
w_heraklion_precipitation,0.00037350125146576383
w_thessaloniki_wind_gusts_10m,0.0003176181695283113
co2_lag3,0.00027942494209423114
w_gr_mean_cloud_cover,0.0002593536325625337
dow_cos,0.0002299100626154774
w_thessaloniki_relative_humidity_2m_missing,0.00022964223260840675
co2_lag2,0.00018187227726465272
co2_lag24,0.00011538355272410732
w_athens_shortwave_radiation,0.00010226526563775195
wind_onshore_fc_dayahead_missing,9.952677897766335e-05
w_gr_mean_wind_speed_10m,7.254136804148631e-05
w_athens_temperature_2m_missing,7.114032702349482e-05
gas_lag2,6.946603142400313e-05
w_heraklion_wind_speed_10m,6.658164380686568e-05
gas_lag48,6.2474924781232e-05
gas_price,5.0636244676847896e-05
w_thessaloniki_wind_speed_10m_missing,3.723637622975157e-05
co2_lag12,2.253359557147366e-05
w_thessaloniki_temperature_2m,0.0
w_athens_wind_speed_10m,0.0
w_athens_precipitation,0.0
w_gr_mean_precipitation,0.0
co2_price,0.0
w_heraklion_relative_humidity_2m_missing,0.0
w_heraklion_precipitation_missing,0.0
w_larissa_precipitation_missing,0.0
w_larissa_relative_humidity_2m_missing,0.0
w_larissa_temperature_2m_missing,0.0
w_heraklion_temperature_2m_missing,0.0
w_larissa_shortwave_radiation_missing,0.0
w_larissa_wind_gusts_10m_missing,0.0
w_larissa_wind_speed_10m_missing,0.0
w_larissa_cloud_cover_missing,0.0
w_patras_relative_humidity_2m_missing,0.0
w_patras_temperature_2m_missing,0.0
w_thessaloniki_wind_gusts_10m_missing,0.0
w_thessaloniki_cloud_cover_missing,0.0
w_athens_precipitation_missing,0.0
w_athens_cloud_cover_missing,0.0
w_athens_wind_speed_10m_missing,0.0
w_athens_wind_gusts_10m_missing,0.0
w_athens_shortwave_radiation_missing,0.0
w_gr_mean_shortwave_radiation_missing,0.0
w_athens_relative_humidity_2m_missing,0.0
w_gr_mean_temperature_2m_missing,0.0
w_gr_mean_relative_humidity_2m_missing,0.0
w_gr_mean_precipitation_missing,0.0
w_gr_mean_cloud_cover_missing,0.0
