feature,importance
y_lag1,0.22660949845516284
y_lag24,0.06155405309757235
gen_solar_lag1,0.04832205202068258
residual_load_lag3,0.04453641127053565
gen_solar_lag24,0.041387529202679935
solar_fc_dayahead,0.039277918381787943
y_lag2,0.03879375137540883
residual_load_lag1,0.03078375315956982
gen_solar_lag48,0.030586905586694836
load_lag1,0.0271201239212023
w_thessaloniki_temperature_2m_missing,0.02604165685676291
w_thessaloniki_wind_gusts_10m_missing,0.024192224398224927
y_lag168,0.023270596056864448
w_athens_wind_speed_10m_missing,0.023174559137971777
wind_onshore_fc_dayahead,0.023060854011330387
w_thessaloniki_wind_speed_10m_missing,0.022095525423084277
w_athens_precipitation_missing,0.018582732414612998
hour_cos,0.01821516613258114
y_lag48,0.01585599497752638
w_thessaloniki_precipitation_missing,0.01582696523533637
w_patras_shortwave_radiation,0.015422371685696976
w_athens_shortwave_radiation_missing,0.01342879425250321
w_athens_wind_gusts_10m_missing,0.012053953936988443
gen_fc_dayahead,0.011987839931502826
w_athens_relative_humidity_2m,0.010789176641706956
gen_wind_lag24,0.00885495931332188
w_athens_relative_humidity_2m_missing,0.008176263464586105
w_thessaloniki_cloud_cover_missing,0.008087259990417987
y_roll24,0.007336063848072919
w_athens_temperature_2m,0.007126802629750916
dow,0.007095750181068838
y_lag3,0.006100545867838939
y_lag12,0.005482857882517061
w_thessaloniki_relative_humidity_2m,0.0047214308437967464
w_gr_mean_wind_gusts_10m,0.004500428258775142
w_gr_mean_wind_speed_10m,0.0041891726304535155
w_larissa_shortwave_radiation,0.004006799132324377
residual_load_lag12,0.0036493798651743253
w_athens_temperature_2m_missing,0.0034140645143733
w_patras_wind_speed_10m,0.003392900010119098
w_larissa_relative_humidity_2m,0.0032817059072014153
w_gr_mean_shortwave_radiation,0.002964478810669587
residual_load_lag6,0.002908241657632386
w_gr_mean_cloud_cover,0.0028788007395661795
residual_load_lag2,0.0028767624568278786
residual_load_lag48,0.0028697361586667407
y_roll168,0.0024204276229998363
load_lag6,0.0023269987305308093
load_lag12,0.0021573451578340524
w_athens_wind_speed_10m,0.0020596482869347284
solar_fc_dayahead_missing,0.0020045671265355065
is_holiday,0.0019282473163797329
w_gr_mean_relative_humidity_2m,0.0016677532551572984
load_lag48,0.001635432750288346
load_fc,0.0016229765051302227
y_lag6,0.0015823088661087949
w_athens_precipitation,0.001316980731131371
w_thessaloniki_wind_speed_10m,0.0013124173957396732
w_thessaloniki_wind_gusts_10m,0.0012350529858201275
w_athens_shortwave_radiation,0.001185176828888139
w_thessaloniki_shortwave_radiation_missing,0.001101317481320778
gen_solar_lag2,0.0010183205128255076
residual_load_lag168,0.0009670622719184325
w_patras_cloud_cover,0.0006140950983175375
co2_lag3,0.0005949436852337664
w_thessaloniki_cloud_cover,0.0005333041107318359
w_gr_mean_precipitation,0.0004818839684294285
co2_lag168,0.00045438744848464287
gen_wind_lag168,0.00040867514330717396
w_patras_relative_humidity_2m,0.00037239474112017436
load_lag168,0.0003602363385652568
gas_lag48,0.00032007402738953546
gas_lag168,0.00031448211328435725
gen_wind_lag2,0.0002556749528119171
