feature,importance
load_lag1,0.12319705193816115
y_lag1,0.1223014516463167
y_lag24,0.0826942980032725
load_lag24,0.08201535381368422
y_lag168,0.058095725932564915
y_lag2,0.055160733743591664
load_lag2,0.052929867099623364
load_lag48,0.04834301812051578
load_lag168,0.0480659965969136
y_lag48,0.046623168917354026
load_lag3,0.026201379346986867
hour,0.024831789674314077
y_roll24,0.0232742700222905
y_lag3,0.022895035631475835
residual_load_lag1,0.016788462089558278
hour_cos,0.013201659608822136
gen_solar_lag2,0.0118834037030286
residual_load_lag24,0.011859188001766193
y_roll168,0.008715832548325926
residual_load_lag48,0.008215331523530767
w_gr_mean_temperature_2m,0.0077513842776554
gen_solar_lag1,0.007623577543114225
residual_load_lag2,0.006480291320917203
w_larissa_temperature_2m,0.005673918031830685
gen_solar_lag24,0.005554539393924788
residual_load_lag168,0.005529013215232428
hour_sin,0.005391772990790877
gen_solar_lag168,0.005382259707784854
w_athens_temperature_2m,0.005143018507109318
gen_solar_lag48,0.004747302043993422
y_lag6,0.004643106549210843
load_lag12,0.004569247734412295
y_lag12,0.004361159900028215
gen_fc_dayahead,0.0043596697769382325
load_lag6,0.003933258644280733
dow,0.002819096526938864
residual_load_lag12,0.0027003490013353714
w_thessaloniki_temperature_2m,0.0026959477432329957
w_patras_temperature_2m,0.0025839501158785106
dow_sin,0.002227038814231063
residual_load_lag3,0.0022116653843601494
w_gr_mean_shortwave_radiation,0.0013123581538398686
residual_load_lag6,0.0010832812598505443
w_heraklion_temperature_2m,0.0010587353618218634
w_larissa_relative_humidity_2m,0.0009475681931621531
dow_cos,0.0009381298674176943
solar_fc_dayahead,0.0007690111596903544
w_larissa_shortwave_radiation,0.0007687233306523628
w_athens_shortwave_radiation,0.000672291055456084
w_patras_shortwave_radiation,0.0006526150545911009
w_thessaloniki_shortwave_radiation,0.0006189838273402884
is_holiday,0.0006082570817770953
w_heraklion_shortwave_radiation,0.0006038084460305502
w_gr_mean_relative_humidity_2m,0.0004119475101093753
gen_wind_lag2,0.0003319764564448063
w_thessaloniki_relative_humidity_2m,0.00032770869722588224
gen_wind_lag1,0.0003122911482451414
w_heraklion_relative_humidity_2m,0.0002839741408089679
gen_wind_lag24,0.00028351388100272097
w_larissa_wind_gusts_10m,0.00026932495634200357
gen_wind_lag48,0.0002337569905815206
w_gr_mean_wind_gusts_10m,0.00022731572251674526
w_athens_relative_humidity_2m,0.00022219729699047376
wind_onshore_fc_dayahead,0.00021188952199745713
w_gr_mean_wind_speed_10m,0.00020667040460098496
gen_wind_lag168,0.00020628315695068742
solar_fc_dayahead_missing,0.00018898879359522736
w_patras_relative_humidity_2m,0.00018038516384595175
w_gr_mean_cloud_cover,0.00016483029854586116
w_larissa_wind_speed_10m,0.00015895914943078924
w_athens_wind_gusts_10m,0.00013471353006030883
w_patras_wind_speed_10m,0.0001346698412393132
w_heraklion_wind_gusts_10m,0.0001334389767541844
w_heraklion_wind_speed_10m,0.00013304120294997942
w_athens_wind_speed_10m,0.00012932747355825271
