feature,importance
y_roll24,0.3101090405213323
hour_cos,0.1564977336252592
hour,0.14282418841675223
hour_sin,0.12433943794014198
y_roll168,0.051642745853310044
load_lag1,0.03160209486653369
y_lag1,0.030727175351722886
dow_sin,0.01504075390577438
dow,0.013559308218461416
y_lag2,0.012676475892328357
load_lag2,0.012552974804086493
y_lag6,0.011764252467984019
load_lag6,0.011518893962577686
y_lag12,0.007769389220746351
load_lag12,0.007335706815157913
dow_cos,0.007133535476894604
load_lag3,0.006745343204837091
y_lag3,0.006444663205579151
gen_solar_lag1,0.0042747825109677225
gen_solar_lag2,0.0035265179145074154
gen_solar_lag24,0.0028644390190292043
is_holiday,0.0018191232916108613
gen_solar_lag48,0.0017486962353740114
w_gr_mean_temperature_2m,0.0016199028187650604
load_lag24,0.0013944426685492625
y_lag24,0.001388325249873875
w_larissa_temperature_2m,0.0011828992941173096
gen_solar_lag168,0.0010219193633517396
residual_load_lag12,0.0007727489064560394
load_lag48,0.0007352463062371342
y_lag48,0.0007330920563567622
w_thessaloniki_temperature_2m,0.0007270696815840854
w_athens_temperature_2m,0.0006090284612016686
w_patras_temperature_2m,0.000603196520869182
residual_load_lag24,0.0005464691786723307
residual_load_lag6,0.000515306356773589
residual_load_lag48,0.0004996962417921181
gen_fc_dayahead,0.0004853784007210305
w_larissa_relative_humidity_2m,0.00048168913390007906
w_gr_mean_cloud_cover,0.0004683222957232062
gen_wind_lag168,0.00046698721117454224
residual_load_lag168,0.00046506477565507116
gen_wind_lag48,0.0004629634288094912
w_gr_mean_relative_humidity_2m,0.0004574867940463378
w_gr_mean_shortwave_radiation,0.0004567408723553842
gen_wind_lag24,0.00041945481061827746
load_lag168,0.00039897288640517136
y_lag168,0.0003963058230348442
residual_load_lag1,0.000370779828732182
residual_load_lag3,0.00031228285733809276
w_gr_mean_wind_speed_10m,0.0003075286263726507
w_larissa_cloud_cover,0.0002952744901948358
solar_fc_dayahead,0.00028707745585568437
w_gr_mean_wind_gusts_10m,0.00028293759702468135
gen_wind_lag1,0.0002826145533349557
w_heraklion_temperature_2m,0.0002797924531554072
gen_wind_lag2,0.0002671024758370135
w_athens_relative_humidity_2m,0.00026554108508670455
residual_load_lag2,0.00026131568429032376
w_larissa_shortwave_radiation,0.0002576932535222423
w_thessaloniki_relative_humidity_2m,0.0002576361082462861
w_patras_relative_humidity_2m,0.0002506161080253026
wind_onshore_fc_dayahead,0.0002494793023922786
w_larissa_wind_gusts_10m,0.00023670576146567378
w_larissa_wind_speed_10m,0.00023574829936519966
w_thessaloniki_wind_speed_10m,0.0002310614984811943
w_heraklion_relative_humidity_2m,0.00022323783236912763
w_heraklion_cloud_cover,0.00021761414621689374
w_athens_shortwave_radiation,0.00021634349292056946
w_thessaloniki_wind_gusts_10m,0.00021456399912256024
w_athens_wind_speed_10m,0.00021005069981246013
w_athens_cloud_cover,0.00019926774814735187
w_thessaloniki_cloud_cover,0.00019000906648170018
w_patras_wind_speed_10m,0.0001869288490310951
