feature,importance
y_lag1,0.1246489280702748
load_lag1,0.12172977166514036
y_lag24,0.08113131991038432
load_lag24,0.07975352057843293
y_lag2,0.05905587514362259
y_lag168,0.05732140826231225
load_lag2,0.05328118915690428
load_lag168,0.05106436470297171
load_lag48,0.04961674550732911
y_lag48,0.04592965282711254
load_lag3,0.02503432712531738
hour,0.024920278175702203
y_lag3,0.023794777996205715
y_roll24,0.02219185404744066
residual_load_lag1,0.01661048303041657
hour_cos,0.013236846190022808
gen_solar_lag2,0.01195948636138956
residual_load_lag24,0.01185260909832752
residual_load_lag48,0.008696470492146096
gen_solar_lag1,0.00865215183225137
y_roll168,0.008189557623560032
w_gr_mean_temperature_2m,0.00709982670535539
residual_load_lag2,0.006351585339153703
residual_load_lag168,0.005650784491974063
w_athens_temperature_2m,0.00543935687047405
w_larissa_temperature_2m,0.005405749680401544
gen_solar_lag168,0.0051233565299408515
gen_solar_lag24,0.005022135870737588
hour_sin,0.004820540200238739
gen_solar_lag48,0.004767729070482837
y_lag12,0.004542611542646773
load_lag6,0.004343608863554615
y_lag6,0.004096188063484486
load_lag12,0.00406151322640118
gen_fc_dayahead,0.0033373424781272267
dow,0.0027818515180378653
residual_load_lag3,0.002629750600978534
w_thessaloniki_temperature_2m,0.0025858474654447865
residual_load_lag12,0.0024327637129865336
w_patras_temperature_2m,0.002250252206736015
dow_sin,0.00224595011248144
w_gr_mean_shortwave_radiation,0.0012642284039455567
w_heraklion_temperature_2m,0.0010389341041441543
w_larissa_relative_humidity_2m,0.0010277008100114241
residual_load_lag6,0.0009404883986243181
dow_cos,0.000909170413272744
w_athens_shortwave_radiation,0.0008058763232570361
w_larissa_shortwave_radiation,0.0007469023445358351
solar_fc_dayahead,0.0006552417809950788
w_heraklion_shortwave_radiation,0.0006380330518219727
w_patras_shortwave_radiation,0.0006270926697801888
is_holiday,0.0006130966101303883
w_thessaloniki_shortwave_radiation,0.0005747495449299042
w_gr_mean_relative_humidity_2m,0.0005237134526705711
w_thessaloniki_relative_humidity_2m,0.00034632657124712945
gen_wind_lag1,0.00033732783920620795
gen_wind_lag2,0.0003223041171872064
w_heraklion_relative_humidity_2m,0.0003063535704060994
gen_wind_lag24,0.0002836912478049554
gen_wind_lag48,0.0002487377008837415
w_athens_relative_humidity_2m,0.0002462915851059172
w_larissa_wind_gusts_10m,0.00024160451799617094
w_gr_mean_wind_gusts_10m,0.00023777510966482542
w_gr_mean_wind_speed_10m,0.00021470170095724188
solar_fc_dayahead_missing,0.00020284790082999226
gen_wind_lag168,0.00020214296134863803
wind_onshore_fc_dayahead,0.00020194903163888082
w_gr_mean_cloud_cover,0.00016132977546883749
w_patras_relative_humidity_2m,0.00015777126659020398
w_larissa_wind_speed_10m,0.00015458240511567097
w_athens_wind_gusts_10m,0.00013855774955423743
w_heraklion_wind_gusts_10m,0.00013828835554012601
w_patras_wind_speed_10m,0.0001371619276637703
w_patras_wind_gusts_10m,0.00013515837155472573
w_heraklion_wind_speed_10m,0.0001312005471928004
w_thessaloniki_wind_gusts_10m,0.00012970182995951328
