feature,importance
y_roll24,0.5157521249229811
y_roll168,0.165524535333601
gas_lag168,0.04598458330553848
gas_price,0.02576384783456105
hour_sin,0.017338179413104466
gas_lag48,0.01569927235800789
hour,0.015547162911240383
gas_lag6,0.014494679339965748
gas_lag1,0.012873618802703927
hour_cos,0.011179979094976105
gas_lag3,0.010688459905754169
y_lag1,0.010078705223323521
gas_lag2,0.00871044620863138
gas_lag12,0.007647784176644038
solar_fc_dayahead,0.007423831815316843
gen_solar_lag2,0.006676016288784693
y_lag6,0.005427214946472023
y_lag12,0.0045222224700378595
gen_solar_lag1,0.0033915019948235017
y_lag2,0.003076977374299861
y_lag3,0.0030288663340246992
dow,0.0027209254740706277
w_patras_temperature_2m,0.002654334817041636
dow_sin,0.0024581274372550816
gen_fc_dayahead,0.0023730198985378232
w_gr_mean_shortwave_radiation,0.0022408292801100226
gas_lag24,0.0018715669251593563
w_patras_shortwave_radiation,0.0018325401806438817
gen_solar_lag24,0.0016842769224342513
co2_lag48,0.0014814854401592622
dow_cos,0.0013761732211022262
wind_onshore_fc_dayahead,0.0013595187001088375
load_pred_h09,0.0013263246702094958
co2_lag168,0.001310788350449497
gen_wind_lag48,0.0011986941544773573
load_pred_h10,0.0011616406255723652
gen_solar_lag168,0.0011612606095422117
load_pred_h11,0.0011556879221491132
gen_solar_lag48,0.0011358790659556283
load_pred_h08,0.0011321904394335195
y_lag24,0.0011261759762426638
co2_lag24,0.0011079782972918332
load_pred_h06,0.0010815491981614079
load_pred_h05,0.0010778771091749639
load_lag168,0.0010644568238101471
load_pred_h19,0.0010442017238080595
load_pred_h04,0.001032706551217306
load_pred_h17,0.0010022592531862822
load_pred_h18,0.0009948267369830845
load_pred_h20,0.0009661234619116575
load_pred_h07,0.0009600046499165018
residual_load_lag12,0.0009501719011029236
load_pred_h21,0.0009496577249306917
load_pred_h12,0.0009139154572505403
w_heraklion_shortwave_radiation,0.000907328910796554
load_pred_h16,0.0008992739906522603
load_pred_h03,0.0008992564639858838
residual_load_lag48,0.0008908169121712495
load_pred_h15,0.0008816162350696105
load_pred_h22,0.0008646247363689813
gen_wind_lag168,0.0008546376842781796
load_pred_h13,0.0008446070695820315
load_pred_h14,0.0008388888854052314
gen_wind_lag24,0.0008373519048285311
residual_load_lag24,0.0008251306955117127
load_pred_h24,0.0008145603190129407
load_pred_h23,0.0008067675293555376
residual_load_lag168,0.0007932678106096724
gen_wind_lag1,0.0007614894591170116
load_lag6,0.0007585801703046449
y_lag48,0.0007507348945069052
w_larissa_shortwave_radiation,0.0007395433636714973
w_gr_mean_cloud_cover,0.0007348112608527692
load_pred_h02,0.0007280252729622123
y_lag168,0.0007241741394829876
load_lag48,0.0007157529944559685
w_thessaloniki_shortwave_radiation,0.0007105319960093135
load_lag12,0.0006878174981472133
w_heraklion_wind_speed_10m,0.0006877441766086726
residual_load_lag6,0.0006788676282534465
w_gr_mean_temperature_2m,0.000663073074492715
w_thessaloniki_relative_humidity_2m,0.0006490628258266865
w_athens_relative_humidity_2m,0.0006482874583203239
w_thessaloniki_temperature_2m,0.000646554172680768
residual_load_lag1,0.0006310097159416751
load_lag3,0.0006249380198382158
w_larissa_temperature_2m,0.0006104409710562624
w_heraklion_temperature_2m,0.0006074121215900649
gen_wind_lag2,0.000604825320334394
w_athens_temperature_2m,0.0005951578671439653
w_heraklion_wind_gusts_10m,0.0005898771533702931
load_pred_h01,0.0005828514134274931
co2_price,0.0005803502538115527
w_athens_shortwave_radiation,0.0005707784152254612
co2_lag12,0.0005483856661305641
w_gr_mean_relative_humidity_2m,0.0005402763740743378
w_heraklion_relative_humidity_2m,0.0005203085711340913
load_lag2,0.0005170248589528914
w_athens_wind_gusts_10m,0.0005122304487716978
w_thessaloniki_wind_speed_10m,0.000484339497633921
load_lag1,0.0004833704464580626
w_patras_relative_humidity_2m,0.00047670199742056753
w_thessaloniki_wind_gusts_10m,0.00046754249880241814
co2_lag1,0.00046648160104164623
co2_lag6,0.00045804892547478856
residual_load_lag3,0.0004496044369997975
co2_lag2,0.0004396918109908999
w_gr_mean_wind_gusts_10m,0.0004380450954379857
w_athens_wind_speed_10m,0.00043798303083078516
w_patras_cloud_cover,0.00043533581407718014
residual_load_lag2,0.000430648554437463
co2_lag3,0.0004277054134848346
load_lag24,0.0004265448555602534
load_fc,0.00042538058128359027
w_larissa_relative_humidity_2m,0.00041400298018380105
w_patras_wind_gusts_10m,0.0003804002324225317
w_larissa_cloud_cover,0.00036695878325359086
w_thessaloniki_cloud_cover,0.00036184351038156545
w_gr_mean_wind_speed_10m,0.00035792731528441003
w_patras_wind_speed_10m,0.0003562493587577807
w_larissa_wind_gusts_10m,0.0003513651294861325
w_heraklion_cloud_cover,0.00030250421888129345
w_larissa_wind_speed_10m,0.0002921018392783481
w_athens_cloud_cover,0.0002736089179143966
w_gr_mean_precipitation,0.00010091400217717314
solar_fc_dayahead_missing,7.296154558408271e-05
w_heraklion_shortwave_radiation_missing,7.239142535234045e-05
w_heraklion_temperature_2m_missing,7.167197299671197e-05
w_heraklion_relative_humidity_2m_missing,6.703549509529293e-05
w_heraklion_wind_speed_10m_missing,6.414119510968456e-05
w_heraklion_wind_gusts_10m_missing,6.300170688500012e-05
w_heraklion_cloud_cover_missing,6.192962512371115e-05
w_patras_precipitation,5.336558593029798e-05
w_heraklion_precipitation_missing,4.583895678136757e-05
w_thessaloniki_precipitation,3.70714037403374e-05
w_athens_wind_gusts_10m_missing,3.163410929489816e-05
w_athens_relative_humidity_2m_missing,3.018310898754659e-05
w_thessaloniki_cloud_cover_missing,2.98719721189601e-05
w_thessaloniki_wind_speed_10m_missing,2.8315578814294636e-05
w_athens_cloud_cover_missing,2.7196253493285687e-05
