feature,importance
y_lag1,0.11560728598261848
y_lag2,0.08825329380672085
y_lag24,0.08382908474112809
y_lag48,0.05850994765790784
y_roll24,0.05771857298244764
y_lag168,0.05244345883740768
gas_lag168,0.04723787125948184
y_roll168,0.038501608734950295
gas_lag12,0.036773902508782395
gas_lag24,0.03453645456732456
gas_lag48,0.03237759412152839
y_lag3,0.031163823878772767
gas_lag2,0.03033895653013035
gas_lag6,0.029751424463476145
gas_price,0.027788687640436845
gas_lag3,0.02610356508857692
gas_lag1,0.024387660568616326
y_lag12,0.015613803541128353
y_lag6,0.014552781501958663
co2_price,0.008493497412419187
co2_lag3,0.008212038812896165
co2_lag1,0.007115006347615682
residual_load_lag1,0.006878715047125508
co2_lag168,0.006400677223285942
co2_lag2,0.005972242308001804
co2_lag48,0.005037534095666372
co2_lag24,0.004722174552410131
co2_lag6,0.0043641051269300525
hour_sin,0.004236764392082049
gen_fc_dayahead,0.004223121665938036
residual_load_lag24,0.0033259270492453246
co2_lag12,0.0033000673555375394
hour,0.0031882217520376194
residual_load_lag2,0.003122628801908094
residual_load_lag168,0.002136681729371045
hour_cos,0.002073025951956421
load_lag168,0.001961995937130349
gen_solar_lag24,0.0018240224274186177
gen_solar_lag1,0.0018088370625416463
load_lag1,0.0017925408057437298
w_patras_temperature_2m,0.0017833843637409669
w_patras_shortwave_radiation,0.0017562242721887542
gen_solar_lag2,0.0017546787071889068
residual_load_lag48,0.0017510361887843752
load_lag6,0.001725835770731916
wind_onshore_fc_dayahead,0.0016870000278718259
gen_solar_lag48,0.0016602889191100767
solar_fc_dayahead,0.0015904573500744295
residual_load_lag3,0.001483480601129401
w_gr_mean_shortwave_radiation,0.0014834708178528373
load_fc,0.0014515932062426624
w_larissa_shortwave_radiation,0.001443826914345333
w_gr_mean_temperature_2m,0.001438433597792153
load_lag24,0.0014375202072037195
w_heraklion_temperature_2m,0.0014209197589650927
w_athens_temperature_2m,0.0012910220904619487
gen_solar_lag168,0.0012893863516730052
residual_load_lag6,0.0012663748938847124
load_lag2,0.001261733432736386
load_lag3,0.0012570503254370736
w_larissa_temperature_2m,0.0012126399102406864
w_gr_mean_wind_gusts_10m,0.0011910368610118073
gen_wind_lag1,0.0011874003575583839
dow,0.001108572092089783
w_thessaloniki_temperature_2m,0.001096777437307588
gen_wind_lag2,0.0010945958325915145
load_lag48,0.0010110985887126184
w_gr_mean_wind_speed_10m,0.0009886923555006112
load_lag12,0.0009754836762544864
gen_wind_lag168,0.0009232351303237019
gen_wind_lag48,0.0009052995243829611
w_athens_wind_gusts_10m,0.0008878741259788952
residual_load_lag12,0.0008348081647312592
w_heraklion_wind_speed_10m,0.0008305992506278129
w_gr_mean_relative_humidity_2m,0.0008297010109553028
w_heraklion_wind_gusts_10m,0.0008270519913624099
w_larissa_relative_humidity_2m,0.0007741328428273955
w_athens_wind_speed_10m,0.0007732521667641621
dow_sin,0.000767416700050574
gen_wind_lag24,0.0007652566567875639
w_thessaloniki_wind_gusts_10m,0.0007484753224425711
w_athens_relative_humidity_2m,0.0007452280520342794
w_thessaloniki_relative_humidity_2m,0.0007230339557490397
w_heraklion_relative_humidity_2m,0.0006927986398499415
w_thessaloniki_wind_speed_10m,0.0006631488210065058
w_heraklion_shortwave_radiation,0.0006532257799330182
w_patras_relative_humidity_2m,0.0006516810268997291
w_patras_wind_gusts_10m,0.0006450014952867166
w_larissa_wind_gusts_10m,0.0006400242995288475
w_gr_mean_cloud_cover,0.0006073101242236934
w_patras_wind_speed_10m,0.0006024329756440919
w_thessaloniki_shortwave_radiation,0.0005554061144926047
w_athens_shortwave_radiation,0.0005512981160703797
w_larissa_wind_speed_10m,0.0005485581053211385
dow_cos,0.0004272887296235683
w_larissa_cloud_cover,0.0003983243362162191
w_patras_cloud_cover,0.0003813996655497825
w_heraklion_cloud_cover,0.00037461430395150063
w_thessaloniki_cloud_cover,0.0003453384336710642
w_athens_cloud_cover,0.00031941627209452914
solar_fc_dayahead_missing,0.0002486369380996514
wind_onshore_fc_dayahead_missing,0.0002452298365886356
w_heraklion_wind_gusts_10m_missing,0.00022288071061686145
w_gr_mean_precipitation,0.00021916403722479347
w_thessaloniki_precipitation_missing,0.00018174075475802434
w_heraklion_shortwave_radiation_missing,0.00017843129725537797
w_heraklion_wind_speed_10m_missing,0.00017517339291224176
w_heraklion_relative_humidity_2m_missing,0.00017503460613453971
w_thessaloniki_temperature_2m_missing,0.00015538613486231078
w_patras_precipitation,0.0001453461111022648
w_heraklion_cloud_cover_missing,0.00012533414865201464
w_athens_wind_gusts_10m_missing,0.00012214077119050349
w_athens_precipitation_missing,0.0001183352203319087
w_heraklion_precipitation_missing,0.00011555815911091244
w_heraklion_temperature_2m_missing,0.00010680530867916694
w_thessaloniki_shortwave_radiation_missing,8.91205192864009e-05
w_athens_shortwave_radiation_missing,8.722643766052689e-05
w_athens_temperature_2m_missing,8.19738580801399e-05
w_thessaloniki_relative_humidity_2m_missing,8.176419711391978e-05
w_athens_cloud_cover_missing,7.98441880141933e-05
w_thessaloniki_cloud_cover_missing,7.262635536554651e-05
w_thessaloniki_wind_speed_10m_missing,6.88383064340328e-05
w_thessaloniki_precipitation,6.74131234103288e-05
w_thessaloniki_wind_gusts_10m_missing,6.541561644419973e-05
w_larissa_precipitation,6.530746608685739e-05
w_patras_cloud_cover_missing,6.143897228477638e-05
w_heraklion_precipitation,5.983469486886417e-05
w_patras_relative_humidity_2m_missing,5.89434844597732e-05
w_patras_wind_gusts_10m_missing,5.4270249132189386e-05
w_athens_relative_humidity_2m_missing,5.082559669550198e-05
w_athens_precipitation,4.712345638650537e-05
w_athens_wind_speed_10m_missing,4.561129322759224e-05
w_patras_temperature_2m_missing,4.0298394333992115e-05
w_patras_wind_speed_10m_missing,3.381961651648199e-05
w_patras_shortwave_radiation_missing,3.233130057834729e-05
w_patras_precipitation_missing,2.7013265778985805e-05
is_holiday,1.819650476741454e-05
gen_fc_dayahead_missing,3.3143618342474825e-06
w_larissa_shortwave_radiation_missing,0.0
w_larissa_cloud_cover_missing,0.0
w_larissa_precipitation_missing,0.0
w_larissa_relative_humidity_2m_missing,0.0
w_larissa_wind_speed_10m_missing,0.0
w_larissa_wind_gusts_10m_missing,0.0
w_gr_mean_precipitation_missing,0.0
w_gr_mean_cloud_cover_missing,0.0
w_gr_mean_temperature_2m_missing,0.0
w_gr_mean_relative_humidity_2m_missing,0.0
w_gr_mean_wind_speed_10m_missing,0.0
w_gr_mean_wind_gusts_10m_missing,0.0
w_larissa_temperature_2m_missing,0.0
w_gr_mean_shortwave_radiation_missing,0.0
