feature,importance
y_lag1,0.10726629529414382
load_lag1,0.10093706224118408
gen_fc_dayahead,0.05078338262670637
residual_load_lag1,0.04727078095522928
y_lag24,0.04633977843971749
hour_cos,0.044616246278922016
y_lag2,0.04320056050840282
load_lag2,0.039444743666325034
load_lag24,0.03417239444852866
y_roll24,0.033857413490061675
w_larissa_temperature_2m,0.03282970904211895
y_lag168,0.03254473575860602
dow,0.03056893705961017
load_lag168,0.0291721150462824
y_lag48,0.02411264893665131
y_lag3,0.022386859937533258
w_heraklion_temperature_2m,0.018556875625458782
residual_load_lag168,0.017221947197632727
load_lag6,0.016761577808395864
load_lag3,0.01575629440836819
load_lag48,0.015620434861576644
w_patras_temperature_2m,0.01506508825156702
w_gr_mean_temperature_2m,0.014799059086489862
y_lag6,0.01398433626016369
residual_load_lag24,0.01378369725822239
w_gr_mean_precipitation,0.009873895774135218
w_thessaloniki_wind_gusts_10m,0.00905999380090318
residual_load_lag48,0.00882076821111547
dow_cos,0.008173510962420066
w_larissa_cloud_cover,0.007324532754309291
w_thessaloniki_wind_speed_10m,0.006991097045853587
w_athens_shortwave_radiation,0.006248462044641609
y_roll168,0.006045561689293555
w_thessaloniki_shortwave_radiation,0.005804724722150717
w_larissa_precipitation,0.005067341063553446
wind_onshore_fc_dayahead_missing,0.005001279629607548
gen_wind_lag1,0.004434181007642099
w_heraklion_wind_gusts_10m,0.00397428341625877
w_athens_cloud_cover,0.003934461594459122
w_gr_mean_wind_speed_10m,0.003874073377050012
is_holiday,0.0038073471591810897
w_heraklion_wind_speed_10m,0.0037265716632916275
residual_load_lag12,0.0036947599521357064
w_patras_precipitation,0.003244472270248394
w_gr_mean_cloud_cover,0.002952643696873372
w_thessaloniki_relative_humidity_2m,0.0027241933877918865
gen_wind_lag24,0.002508327039144637
dow_sin,0.002479882697472275
w_thessaloniki_wind_gusts_10m_missing,0.0023628188259205507
wind_onshore_fc_dayahead,0.002187607871953674
w_heraklion_cloud_cover,0.0021569729604643544
gen_wind_lag2,0.0018783399811813173
residual_load_lag6,0.00139306941836491
hour,0.0013831349597543008
w_thessaloniki_cloud_cover_missing,0.001156885955710571
w_larissa_relative_humidity_2m,0.0010377401549814882
w_athens_wind_gusts_10m,0.0009321401091947034
hour_sin,0.000753019012787063
w_athens_wind_speed_10m,0.0007126903685431596
w_patras_wind_speed_10m,0.000704902063455008
w_athens_wind_speed_10m_missing,0.0007011206718527562
w_thessaloniki_relative_humidity_2m_missing,0.0006928541111350072
w_athens_temperature_2m_missing,0.0005331145124153203
w_athens_shortwave_radiation_missing,0.0003216973262090573
gen_solar_lag168,0.0002442751454257395
w_patras_relative_humidity_2m,2.8277103219767925e-05
solar_fc_dayahead,0.0
solar_fc_dayahead_missing,0.0
w_gr_mean_relative_humidity_2m,0.0
w_thessaloniki_shortwave_radiation_missing,0.0
w_thessaloniki_wind_speed_10m_missing,0.0
w_thessaloniki_temperature_2m_missing,0.0
w_thessaloniki_precipitation_missing,0.0
w_athens_relative_humidity_2m_missing,0.0
w_athens_precipitation_missing,0.0
w_athens_cloud_cover_missing,0.0
w_athens_wind_gusts_10m_missing,0.0
w_gr_mean_wind_gusts_10m_missing,0.0
w_gr_mean_shortwave_radiation_missing,0.0
w_heraklion_shortwave_radiation,0.0
w_gr_mean_temperature_2m_missing,0.0
w_gr_mean_relative_humidity_2m_missing,0.0
w_gr_mean_precipitation_missing,0.0
w_gr_mean_cloud_cover_missing,0.0
w_gr_mean_wind_speed_10m_missing,0.0
w_larissa_wind_speed_10m,0.0
w_larissa_shortwave_radiation,0.0
w_larissa_wind_gusts_10m,0.0
w_heraklion_precipitation,0.0
w_heraklion_relative_humidity_2m,0.0
gen_fc_dayahead_missing,0.0
w_gr_mean_wind_gusts_10m,0.0
w_gr_mean_shortwave_radiation,0.0
w_thessaloniki_temperature_2m,0.0
w_athens_temperature_2m,0.0
w_athens_relative_humidity_2m,0.0
w_thessaloniki_cloud_cover,0.0
w_thessaloniki_precipitation,0.0
w_patras_cloud_cover,0.0
w_patras_wind_gusts_10m,0.0
w_patras_shortwave_radiation,0.0
w_athens_precipitation,0.0
w_heraklion_wind_gusts_10m_missing,0.0
w_heraklion_cloud_cover_missing,0.0
w_heraklion_precipitation_missing,0.0
w_heraklion_shortwave_radiation_missing,0.0
w_heraklion_wind_speed_10m_missing,0.0
w_patras_shortwave_radiation_missing,0.0
w_larissa_temperature_2m_missing,0.0
w_larissa_relative_humidity_2m_missing,0.0
w_larissa_precipitation_missing,0.0
w_larissa_cloud_cover_missing,0.0
w_larissa_wind_speed_10m_missing,0.0
w_larissa_wind_gusts_10m_missing,0.0
w_larissa_shortwave_radiation_missing,0.0
w_heraklion_temperature_2m_missing,0.0
w_heraklion_relative_humidity_2m_missing,0.0
w_patras_cloud_cover_missing,0.0
w_patras_precipitation_missing,0.0
w_patras_relative_humidity_2m_missing,0.0
w_patras_wind_speed_10m_missing,0.0
w_patras_temperature_2m_missing,0.0
w_patras_wind_gusts_10m_missing,0.0
load_lag12,0.0
y_lag12,0.0
residual_load_lag3,0.0
residual_load_lag2,0.0
gen_solar_lag2,0.0
gen_solar_lag1,0.0
gen_solar_lag48,0.0
gen_solar_lag24,0.0
gen_wind_lag168,0.0
gen_wind_lag48,0.0
