feature,importance
y_lag1,0.25562357923629453
solar_fc_dayahead,0.0696433685847102
gen_fc_dayahead,0.04924933732136533
gen_solar_lag1,0.03870446415463985
residual_load_lag1,0.03140514279604447
wind_onshore_fc_dayahead,0.027386898692562733
y_lag24,0.02736577921215612
gen_solar_lag2,0.022637025460094783
residual_load_lag2,0.02194563530658384
residual_load_lag3,0.020917516814235544
gen_wind_lag2,0.018252434851513833
w_gr_mean_wind_gusts_10m,0.015437277269247254
w_patras_temperature_2m,0.014456992028092232
load_lag3,0.013392723141646882
gen_solar_lag168,0.01216562201121993
gen_wind_lag1,0.011303301286310106
gen_solar_lag24,0.010467928948778482
w_patras_precipitation,0.010055215866404538
residual_load_lag168,0.008570269180265353
y_lag2,0.008240409204366177
residual_load_lag48,0.008009003572816033
w_larissa_shortwave_radiation,0.00791061747979457
residual_load_lag6,0.007735235394744503
hour_cos,0.0075571301527441095
y_lag48,0.0072759466714617735
w_patras_shortwave_radiation,0.007219701503880771
w_larissa_wind_gusts_10m,0.007197907592966103
w_gr_mean_shortwave_radiation,0.007165104559538362
load_lag12,0.00710602841429901
y_roll24,0.006882370622118946
dow,0.006773903291524524
gen_wind_lag168,0.00652798458584061
gen_solar_lag48,0.006450477522681875
w_heraklion_wind_gusts_10m,0.006413714868578894
load_lag168,0.006224819933673483
load_lag48,0.006221770694586618
load_lag24,0.0059067973934452045
load_lag1,0.005648788118182585
w_gr_mean_wind_speed_10m,0.005646424465659984
residual_load_lag24,0.005607262088703153
w_heraklion_shortwave_radiation,0.005405748284012472
w_gr_mean_precipitation,0.005328121982913428
y_lag3,0.00531705773026471
w_thessaloniki_relative_humidity_2m,0.005053158622118398
w_patras_cloud_cover,0.0050109241422814895
w_patras_relative_humidity_2m,0.0049291292767703505
w_athens_temperature_2m,0.0048800669864298004
load_lag6,0.004849678830883796
w_patras_wind_speed_10m,0.004767216283573778
w_patras_wind_gusts_10m,0.0044542719559323
hour,0.004441461766341392
is_holiday,0.004278726482235631
w_larissa_cloud_cover,0.004263007147871628
load_lag2,0.004173889528238821
dow_cos,0.00414617262293506
residual_load_lag12,0.004097975144527799
wind_onshore_fc_dayahead_missing,0.004094684178206892
w_gr_mean_temperature_2m,0.003900966261365261
solar_fc_dayahead_missing,0.003809471978869635
y_lag6,0.0036692304062656976
co2_lag168,0.003390411116627361
w_athens_relative_humidity_2m,0.0032565002097849193
load_fc,0.0030727979187885916
w_larissa_wind_speed_10m,0.0030501564040088846
w_heraklion_wind_speed_10m,0.0030341355140623832
gen_wind_lag24,0.002923255566441699
w_gr_mean_relative_humidity_2m,0.002857336260031532
w_thessaloniki_wind_gusts_10m_missing,0.0028052515090262573
dow_sin,0.0027205459203732767
w_heraklion_cloud_cover,0.0026238896528337115
w_heraklion_temperature_2m,0.002511629391355061
w_gr_mean_cloud_cover,0.002390138133831886
w_athens_wind_speed_10m,0.0023676768158223146
w_athens_temperature_2m_missing,0.0023580331254565556
w_athens_wind_gusts_10m,0.0023339282701800687
w_thessaloniki_relative_humidity_2m_missing,0.00233291583387541
y_lag12,0.0023148336732787688
w_athens_relative_humidity_2m_missing,0.0022754835448467684
w_athens_shortwave_radiation_missing,0.002239930992515177
co2_price,0.0020837838036677154
w_athens_wind_gusts_10m_missing,0.002020171578609645
w_thessaloniki_wind_gusts_10m,0.001971549362386488
w_thessaloniki_cloud_cover_missing,0.0018451554047483327
w_athens_cloud_cover_missing,0.0017526203246721478
w_athens_precipitation_missing,0.0017452589794351037
w_athens_wind_speed_10m_missing,0.001709052064788271
w_thessaloniki_temperature_2m,0.0015273140515997049
w_thessaloniki_precipitation_missing,0.0014874374684826354
w_thessaloniki_temperature_2m_missing,0.0014454817596621188
co2_lag24,0.001396182546568556
hour_sin,0.0013776469506191753
w_thessaloniki_wind_speed_10m_missing,0.0012232429211682162
w_thessaloniki_shortwave_radiation_missing,0.0012211607495910641
w_athens_cloud_cover,0.0012083349065297854
co2_lag2,0.0011994613455665107
w_heraklion_relative_humidity_2m,0.0011671924288974122
w_thessaloniki_cloud_cover,0.001043249006143427
w_thessaloniki_precipitation,0.0010084144474943183
w_thessaloniki_wind_speed_10m,0.0009741003202569386
w_athens_shortwave_radiation,0.0007917338033359555
w_larissa_relative_humidity_2m,0.0007638701910229407
co2_lag12,0.0007434051379284093
w_larissa_temperature_2m,0.000715924173968512
co2_lag1,0.0006166847819378327
co2_lag3,0.0006030403622004323
w_larissa_precipitation,0.0005961661319765186
w_athens_precipitation,0.0003372047289431892
w_thessaloniki_shortwave_radiation,0.00031110932383347637
co2_lag6,0.0003075126293866294
co2_lag48,0.00029228534300008936
gas_lag6,5.6760004944428525e-05
y_lag168,2.577320768171733e-05
gas_price,0.0
gen_fc_dayahead_missing,0.0
w_heraklion_precipitation,0.0
w_gr_mean_relative_humidity_2m_missing,0.0
w_gr_mean_precipitation_missing,0.0
w_gr_mean_cloud_cover_missing,0.0
w_gr_mean_wind_speed_10m_missing,0.0
w_gr_mean_wind_gusts_10m_missing,0.0
w_heraklion_precipitation_missing,0.0
w_heraklion_relative_humidity_2m_missing,0.0
w_heraklion_temperature_2m_missing,0.0
w_larissa_shortwave_radiation_missing,0.0
w_larissa_wind_gusts_10m_missing,0.0
w_larissa_wind_speed_10m_missing,0.0
w_larissa_cloud_cover_missing,0.0
w_larissa_precipitation_missing,0.0
w_larissa_relative_humidity_2m_missing,0.0
w_larissa_temperature_2m_missing,0.0
w_patras_shortwave_radiation_missing,0.0
w_patras_wind_gusts_10m_missing,0.0
w_patras_wind_speed_10m_missing,0.0
w_patras_cloud_cover_missing,0.0
w_patras_precipitation_missing,0.0
w_patras_relative_humidity_2m_missing,0.0
w_patras_temperature_2m_missing,0.0
w_gr_mean_shortwave_radiation_missing,0.0
w_gr_mean_temperature_2m_missing,0.0
w_heraklion_shortwave_radiation_missing,0.0
w_heraklion_cloud_cover_missing,0.0
w_heraklion_wind_speed_10m_missing,0.0
w_heraklion_wind_gusts_10m_missing,0.0
gas_lag3,0.0
gas_lag48,0.0
gas_lag24,0.0
gas_lag168,0.0
gas_lag12,0.0
gas_lag1,0.0
gas_lag2,0.0
gen_wind_lag48,0.0
y_roll168,0.0
