feature,importance
y_lag1,0.052736177745057705
load_lag12,0.04822654035605656
y_lag9,0.0409329298845342
y_lag19,0.040391528042719116
y_lag17,0.03984567482829037
load_lag3,0.03943075674558274
y_lag15,0.038655782626648164
y_lag22,0.0368337627356791
load_lag6,0.03353540585729665
y_lag21,0.033139792000731604
y_lag20,0.03279012347800681
y_lag16,0.030828471287418925
y_lag4,0.029505039566285567
y_lag6,0.02950196846585727
y_lag18,0.02874531903151726
y_lag8,0.028722446474496892
y_lag11,0.028223693281093608
y_lag13,0.02816878018649483
y_lag5,0.027998758428984506
y_lag23,0.027655883572100994
y_lag14,0.02490576624032057
y_lag7,0.0246100898360414
y_lag10,0.02288247020207213
y_lag2,0.01817153238470863
load_lag2,0.017693255215259957
y_lag12,0.01751067919198406
dow,0.01611991168890245
load_lag1,0.015628438367501604
y_lag3,0.015336603169186369
dow_cos,0.014129344438033105
hour_cos,0.013505573590966128
is_holiday,0.008931483775274706
hour,0.008620101964418116
hour_sin,0.008285553204023246
dow_sin,0.0055315559824379796
y_lag24,0.003410572994076329
load_lag24,0.002777693305434173
w_gr_mean_temperature_2m,0.002349372734319882
y_lag48,0.0023155787273547736
load_lag48,0.0021827876322584637
gen_solar_lag2,0.0021317773928118317
y_roll24,0.0020085562070185623
residual_load_lag1,0.0017853866901702418
w_thessaloniki_temperature_2m,0.0017562560857100357
w_larissa_temperature_2m,0.0016743431835576522
y_roll168,0.0015826368959171088
gen_solar_lag48,0.0013723433549348533
gen_solar_lag24,0.0013524157283884444
w_gr_mean_shortwave_radiation,0.0012346311926367138
gen_solar_lag1,0.0012231880941289978
w_gr_mean_cloud_cover,0.0012195247453090838
w_patras_temperature_2m,0.0011671513806836933
w_athens_precipitation,0.0011549773394817823
residual_load_lag24,0.0011171515413336678
w_larissa_precipitation,0.0009967377679915839
w_gr_mean_wind_gusts_10m,0.0009851416427576036
w_larissa_shortwave_radiation,0.0009437476895673546
w_athens_temperature_2m,0.0009409952663779166
w_thessaloniki_wind_gusts_10m,0.0009144494464391598
w_thessaloniki_wind_speed_10m,0.0009122504980636253
w_larissa_cloud_cover,0.0008906479976301666
w_larissa_relative_humidity_2m,0.0008884693419002035
