feature,importance
y_lag1,0.7656942982670316
load_lag1,0.07456322710417304
hour_cos,0.04653553541652148
y_lag24,0.026795453332464567
hour_sin,0.010324844922328847
load_lag24,0.005564911629713267
gen_solar_lag2,0.005479099111165163
y_lag12,0.0046494463164032185
load_lag168,0.0038308259676853133
gen_solar_lag24,0.003761432431548564
hour,0.003554625523789588
load_lag2,0.0034457776751339983
gen_solar_lag1,0.0034032064591204853
y_lag168,0.002692706829035472
dow,0.00268232607589362
load_lag12,0.002492847586943264
y_lag2,0.0024860957318269565
y_roll24,0.0021894208618005815
y_lag3,0.0020513646448396834
w_gr_mean_temperature_2m,0.0018944761561029517
is_holiday,0.0018584035919077362
gen_solar_lag48,0.0018467225961748632
dow_sin,0.0014315965457874188
load_lag3,0.0013264805062909095
y_lag6,0.001060973041396927
w_gr_mean_shortwave_radiation,0.0009455871925484523
gen_solar_lag168,0.0009060832871077947
residual_load_lag1,0.0008943616624319308
w_larissa_temperature_2m,0.0008786108456890481
load_lag6,0.0008560154490358973
residual_load_lag12,0.0007849864524246243
w_athens_shortwave_radiation,0.0005451519393038777
w_athens_temperature_2m,0.0005314811148945766
dow_cos,0.0005018554559126173
w_thessaloniki_temperature_2m,0.0005005479955724116
w_patras_temperature_2m,0.00048706451249981033
w_larissa_shortwave_radiation,0.00048246363395200936
w_heraklion_temperature_2m_missing,0.00043173694343639433
gen_fc_dayahead_missing,0.00040304377108296734
w_heraklion_shortwave_radiation,0.00037519717085971355
gen_fc_dayahead,0.0003279500175276447
y_roll168,0.00030484705012538016
residual_load_lag6,0.00030442868260711697
y_lag48,0.0003041446292521083
w_thessaloniki_shortwave_radiation,0.00030124222096506023
w_athens_precipitation,0.00030042126020296154
w_larissa_relative_humidity_2m,0.0002975101789753609
residual_load_lag2,0.0002365779549104995
w_patras_shortwave_radiation,0.00021271917566367587
residual_load_lag3,0.00020936023018878528
solar_fc_dayahead_missing,0.0002081114577164459
w_gr_mean_wind_gusts_10m,0.00020596622915384266
residual_load_lag48,0.00019858404334462788
w_gr_mean_cloud_cover,0.00019469303624990224
w_heraklion_temperature_2m,0.0001875572725469229
load_lag48,0.00018675771764984562
gen_wind_lag1,0.00018260390299408227
w_patras_relative_humidity_2m,0.0001812544167271725
solar_fc_dayahead,0.00018115993115165656
residual_load_lag24,0.00017869106802883856
w_athens_wind_gusts_10m,0.0001758129032299792
w_athens_relative_humidity_2m,0.00016972553214798325
w_gr_mean_relative_humidity_2m,0.00016897754923298337
w_heraklion_cloud_cover,0.00016393862897962555
w_patras_wind_gusts_10m,0.00015993359308931343
w_thessaloniki_relative_humidity_2m,0.00014684515081734843
w_gr_mean_wind_speed_10m,0.0001441422929225766
gen_wind_lag24,0.00014283374118884503
residual_load_lag168,0.00014030914423663755
w_athens_cloud_cover,0.00013763621962830286
w_athens_wind_speed_10m,0.00013675662920599262
w_thessaloniki_wind_gusts_10m,0.00013547776337616564
w_gr_mean_precipitation,0.00013356172745400223
w_heraklion_wind_gusts_10m,0.0001331229144970204
gen_wind_lag48,0.00012785270612765304
w_thessaloniki_wind_speed_10m,0.00012215506439780058
w_heraklion_wind_speed_10m,0.00011789426407267129
w_heraklion_precipitation,0.00011765989095096183
w_larissa_wind_gusts_10m,0.00011740197283292019
w_heraklion_relative_humidity_2m,0.00011604282409532772
gen_wind_lag168,0.00011584221868930972
w_larissa_cloud_cover,0.00011527562537831506
gen_wind_lag2,0.00011523178773835792
w_larissa_precipitation,0.00011387242799801711
w_patras_cloud_cover,0.0001094074133922775
wind_onshore_fc_dayahead,0.0001060508908110144
w_thessaloniki_cloud_cover,0.00010523428107110567
w_larissa_wind_speed_10m,0.00010229211695588729
wind_onshore_fc_dayahead_missing,0.00010227926034015215
w_patras_wind_speed_10m,0.00010197119632757364
w_patras_precipitation,9.263796269188445e-05
w_thessaloniki_precipitation,9.236790100187792e-05
w_heraklion_relative_humidity_2m_missing,7.459017730651368e-05
w_gr_mean_wind_speed_10m_missing,0.0
w_gr_mean_cloud_cover_missing,0.0
w_gr_mean_precipitation_missing,0.0
w_gr_mean_relative_humidity_2m_missing,0.0
w_gr_mean_temperature_2m_missing,0.0
w_athens_temperature_2m_missing,0.0
w_gr_mean_shortwave_radiation_missing,0.0
w_gr_mean_wind_gusts_10m_missing,0.0
w_thessaloniki_shortwave_radiation_missing,0.0
w_thessaloniki_wind_gusts_10m_missing,0.0
w_thessaloniki_wind_speed_10m_missing,0.0
w_thessaloniki_cloud_cover_missing,0.0
w_thessaloniki_precipitation_missing,0.0
w_thessaloniki_relative_humidity_2m_missing,0.0
w_thessaloniki_temperature_2m_missing,0.0
w_athens_shortwave_radiation_missing,0.0
w_athens_wind_gusts_10m_missing,0.0
w_athens_wind_speed_10m_missing,0.0
w_athens_cloud_cover_missing,0.0
w_athens_precipitation_missing,0.0
w_athens_relative_humidity_2m_missing,0.0
w_heraklion_wind_gusts_10m_missing,0.0
w_heraklion_cloud_cover_missing,0.0
w_heraklion_wind_speed_10m_missing,0.0
w_patras_relative_humidity_2m_missing,0.0
w_patras_temperature_2m_missing,0.0
w_patras_wind_speed_10m_missing,0.0
w_heraklion_precipitation_missing,0.0
w_heraklion_shortwave_radiation_missing,0.0
w_patras_wind_gusts_10m_missing,0.0
w_patras_precipitation_missing,0.0
w_patras_cloud_cover_missing,0.0
w_larissa_temperature_2m_missing,0.0
w_patras_shortwave_radiation_missing,0.0
w_larissa_relative_humidity_2m_missing,0.0
w_larissa_precipitation_missing,0.0
w_larissa_wind_speed_10m_missing,0.0
w_larissa_cloud_cover_missing,0.0
w_larissa_shortwave_radiation_missing,0.0
w_larissa_wind_gusts_10m_missing,0.0
