feature,importance
y_lag1,0.05319102531591579
load_lag12,0.04902723099338541
y_lag9,0.04237868688993806
y_lag19,0.0404281106737499
y_lag17,0.039857270826460144
load_lag3,0.03829825113655524
y_lag15,0.03787692054404862
y_lag22,0.03625539499520609
load_lag6,0.033283896674798155
y_lag21,0.032956968209051606
y_lag20,0.03255456344702546
y_lag16,0.030740403740643567
y_lag4,0.030143551492368498
y_lag6,0.029652886840887106
y_lag13,0.029636810043792004
y_lag18,0.028716425250808853
y_lag23,0.028505647052308524
y_lag8,0.02832200787498507
y_lag5,0.028238626288345583
y_lag11,0.02745804640165433
y_lag7,0.025365339179776878
y_lag14,0.022635019193567182
y_lag10,0.021841615739589128
y_lag12,0.01896610387116074
y_lag2,0.01858204904393159
load_lag2,0.01775176118388445
dow,0.01608986264861409
load_lag1,0.015568909319404224
y_lag3,0.015555729249596672
dow_cos,0.014065714755083473
hour_cos,0.01339388649203539
is_holiday,0.008844742129657654
hour,0.008489659526593172
hour_sin,0.008185369636664091
dow_sin,0.005539192345916511
y_lag24,0.003477716000686657
y_roll24,0.002464583200786383
load_lag24,0.00246113288105078
w_gr_mean_temperature_2m,0.002382977595366
y_lag48,0.002255663301264334
gen_solar_lag2,0.0021737409564315897
load_lag48,0.0021429201867098277
residual_load_lag1,0.0019368168867793982
w_thessaloniki_temperature_2m,0.0016923562856386682
w_larissa_temperature_2m,0.0016422715571340002
y_roll168,0.0016095812616313521
gen_solar_lag24,0.0012914427917593838
gen_solar_lag48,0.0012519318632155016
gen_solar_lag1,0.0012396800843340907
w_gr_mean_cloud_cover,0.0012305538434174334
w_gr_mean_shortwave_radiation,0.0012181129818000752
w_athens_precipitation,0.0011447626948707088
w_patras_temperature_2m,0.0011265911750431333
residual_load_lag24,0.0010985404642500848
w_larissa_precipitation,0.0009793449480187703
w_gr_mean_wind_gusts_10m,0.0009680036909623372
w_thessaloniki_wind_gusts_10m,0.0009490461839940498
w_athens_temperature_2m,0.0009301846493320676
w_gr_mean_wind_speed_10m,0.000907133148367842
w_thessaloniki_wind_speed_10m,0.000897785180525053
gen_solar_lag168,0.0008942208653297944
w_larissa_relative_humidity_2m,0.0008818337342341283
w_larissa_cloud_cover,0.0008641810568810195
w_larissa_shortwave_radiation,0.0008306625003175673
w_athens_cloud_cover,0.0007959768850027696
w_patras_wind_gusts_10m,0.0007769119018328526
gen_wind_lag24,0.0007380190695266282
residual_load_lag12,0.0007314255567151103
w_larissa_wind_gusts_10m,0.0007168679431909307
w_gr_mean_precipitation,0.0007164581345793538
y_lag168,0.0007117049709586723
residual_load_lag2,0.0006859697742573438
w_athens_shortwave_radiation,0.0006848266303660305
w_patras_cloud_cover,0.0006812263343476896
w_heraklion_temperature_2m,0.0006812113555762726
gen_wind_lag1,0.0006796421710182656
residual_load_lag48,0.0006762380778667313
w_heraklion_relative_humidity_2m_missing,0.0006710000935430767
w_thessaloniki_precipitation,0.0006595899155844335
w_heraklion_temperature_2m_missing,0.0006591943890713316
residual_load_lag6,0.000657346528060584
solar_fc_dayahead_missing,0.0006563903047331457
residual_load_lag3,0.0006325385781854789
w_patras_relative_humidity_2m,0.000630165845963048
gen_fc_dayahead,0.0006278415582790998
w_thessaloniki_cloud_cover,0.000610580450530808
w_gr_mean_relative_humidity_2m,0.0005870543576473611
gen_wind_lag48,0.0005705568889359566
w_athens_wind_gusts_10m,0.0005544800445471286
w_heraklion_cloud_cover,0.0005474910221997432
w_patras_wind_speed_10m,0.0005454315648211878
w_heraklion_shortwave_radiation,0.0005412885842279244
gen_wind_lag2,0.0005381694406172573
w_thessaloniki_shortwave_radiation,0.0005365411140440794
w_patras_precipitation,0.0005351236841341183
w_heraklion_wind_gusts_10m,0.0005302707149901262
w_patras_shortwave_radiation,0.0005296677218214947
load_lag168,0.00052567386016063
w_athens_wind_speed_10m,0.0005082421778935827
residual_load_lag168,0.0005066320024093433
gen_wind_lag168,0.000504869747890614
w_athens_relative_humidity_2m,0.0004966443299474296
w_heraklion_precipitation,0.0004926476991783614
w_heraklion_relative_humidity_2m,0.00048061877924082154
w_larissa_wind_speed_10m,0.00047092160181213985
w_heraklion_wind_speed_10m,0.0004623734405788993
wind_onshore_fc_dayahead_missing,0.00046181577844521944
w_thessaloniki_relative_humidity_2m,0.0004504342980760825
gen_fc_dayahead_missing,0.00041846776269294537
w_patras_temperature_2m_missing,0.0004061848026951608
wind_onshore_fc_dayahead,0.0003982566791676026
w_patras_relative_humidity_2m_missing,0.000325674750339969
solar_fc_dayahead,0.0003170566174349723
w_patras_precipitation_missing,0.00011625004245303973
w_heraklion_precipitation_missing,9.52157188839791e-05
w_heraklion_cloud_cover_missing,5.787435417896101e-05
w_gr_mean_temperature_2m_missing,3.089987150766948e-05
w_athens_temperature_2m_missing,1.4269578370952482e-05
w_patras_wind_speed_10m_missing,1.2930957995934629e-05
w_patras_cloud_cover_missing,7.392563934133535e-06
w_larissa_wind_speed_10m_missing,0.0
w_larissa_wind_gusts_10m_missing,0.0
w_larissa_shortwave_radiation_missing,0.0
w_larissa_cloud_cover_missing,0.0
w_larissa_temperature_2m_missing,0.0
w_larissa_relative_humidity_2m_missing,0.0
w_larissa_precipitation_missing,0.0
w_patras_wind_gusts_10m_missing,0.0
w_athens_shortwave_radiation_missing,0.0
w_thessaloniki_relative_humidity_2m_missing,0.0
w_thessaloniki_precipitation_missing,0.0
w_patras_shortwave_radiation_missing,0.0
w_thessaloniki_cloud_cover_missing,0.0
w_thessaloniki_shortwave_radiation_missing,0.0
w_thessaloniki_wind_gusts_10m_missing,0.0
w_athens_cloud_cover_missing,0.0
w_athens_precipitation_missing,0.0
w_athens_wind_gusts_10m_missing,0.0
w_athens_wind_speed_10m_missing,0.0
w_athens_relative_humidity_2m_missing,0.0
w_thessaloniki_temperature_2m_missing,0.0
w_gr_mean_wind_gusts_10m_missing,0.0
w_gr_mean_shortwave_radiation_missing,0.0
w_gr_mean_cloud_cover_missing,0.0
w_gr_mean_wind_speed_10m_missing,0.0
w_gr_mean_relative_humidity_2m_missing,0.0
w_gr_mean_precipitation_missing,0.0
w_thessaloniki_wind_speed_10m_missing,0.0
w_heraklion_shortwave_radiation_missing,0.0
w_heraklion_wind_speed_10m_missing,0.0
