feature,importance
y_lag1,0.47138022482245223
load_lag1,0.3727758754108807
hour_cos,0.06485567863932397
y_lag24,0.020642425473343145
load_lag24,0.012592779233582234
hour_sin,0.007570693125754117
gen_solar_lag2,0.004923038556912854
load_lag2,0.004667801228278224
hour,0.0030800913807574526
gen_solar_lag24,0.0029104216403488185
y_lag12,0.002905671662477744
load_lag12,0.002881988129854555
gen_solar_lag1,0.002438633656433903
y_lag2,0.002392135049471878
y_roll24,0.002165423897925928
is_holiday,0.0020995405104329476
load_lag168,0.0015881694552026251
gen_solar_lag48,0.001542952348078961
dow,0.001345624306789403
load_lag3,0.0010109349194989768
gen_solar_lag168,0.0010083860060759295
y_lag3,0.0009824130497771227
y_lag6,0.0009732731666185539
load_lag6,0.0008532619524000095
residual_load_lag12,0.0006537741741008888
w_gr_mean_temperature_2m,0.0005806405569173869
dow_sin,0.0004704136428591594
w_gr_mean_shortwave_radiation,0.00041806045126586023
w_larissa_temperature_2m,0.00040595037674637485
w_larissa_shortwave_radiation,0.0003516139628718847
y_lag168,0.00035091864327163326
residual_load_lag1,0.00032571859738360354
w_thessaloniki_temperature_2m,0.0002925244279126905
w_athens_shortwave_radiation,0.00028342336926321456
w_athens_temperature_2m,0.00025085373887822487
w_patras_temperature_2m,0.00023808876997822556
w_thessaloniki_shortwave_radiation,0.00021458018047659298
w_heraklion_shortwave_radiation,0.00021129104024375145
y_roll168,0.0002084071853942468
dow_cos,0.00020037626001844907
w_athens_precipitation,0.00017925367525197257
y_lag48,0.00017732436781567988
residual_load_lag6,0.00017404317292840234
w_patras_shortwave_radiation,0.0001598643690754661
w_patras_temperature_2m_missing,0.0001452495316428988
w_heraklion_precipitation,0.00014119912253124194
load_lag48,0.0001382920428254734
w_larissa_relative_humidity_2m,0.0001381280863997057
w_heraklion_temperature_2m,0.00013039110970594468
residual_load_lag3,0.00012124873089396166
w_patras_relative_humidity_2m_missing,0.00011788214536974393
residual_load_lag24,0.00010887897745215221
residual_load_lag48,0.00010370139156020412
residual_load_lag2,0.00010047895002954652
w_larissa_precipitation,9.981415307090756e-05
residual_load_lag168,9.607583887923297e-05
w_thessaloniki_precipitation,9.472154308632349e-05
w_heraklion_cloud_cover,9.236622833980182e-05
w_heraklion_temperature_2m_missing,9.163732291984045e-05
w_patras_relative_humidity_2m,9.140418669038943e-05
gen_fc_dayahead,9.058306578537523e-05
w_gr_mean_relative_humidity_2m,8.992168852675005e-05
w_heraklion_wind_gusts_10m,8.835796884980435e-05
w_athens_relative_humidity_2m,8.541984263348506e-05
w_patras_precipitation,8.439510405850062e-05
