feature,importance
y_lag1,0.6328775562595927
y_lag24,0.05458189643502305
y_lag168,0.050946620509924066
y_lag2,0.018760467861846174
hour_cos,0.01621491379973245
hour_sin,0.008399108931257759
gas_lag2,0.008094504997476187
y_lag48,0.007711707689946402
gen_solar_lag2,0.006981255133478512
y_roll24,0.006101278279558126
dow,0.005696511539265716
gas_lag1,0.005280737498020702
w_gr_mean_shortwave_radiation,0.0051958502436060304
gas_lag6,0.005153127685301706
gas_lag12,0.004944580357007198
gas_lag24,0.004936693917844269
hour,0.004720746766407454
gas_lag168,0.004241907754551046
gen_solar_lag1,0.004146098415195038
w_larissa_shortwave_radiation,0.00394598374672584
gas_lag48,0.0034731180047302304
gas_lag3,0.003320833267306204
solar_fc_dayahead,0.0032536606986872415
y_roll168,0.0031017596661445483
w_patras_shortwave_radiation,0.0030724611907517086
gen_fc_dayahead,0.0030686008588751926
co2_lag168,0.0029306976039209275
w_thessaloniki_temperature_2m,0.002631404536852465
gen_solar_lag24,0.0025216987012328944
y_lag3,0.0023985867106604943
w_heraklion_temperature_2m_missing,0.0023357375740448508
y_lag12,0.002322391023733781
dow_sin,0.0022767198983073703
load_lag6,0.002019333085347872
residual_load_lag1,0.002001397908943776
w_larissa_temperature_2m,0.001910028649737657
gen_solar_lag48,0.0018729462970752309
gen_wind_lag48,0.0018383708318262214
co2_lag24,0.0018311630939552136
residual_load_lag3,0.0018235043631502606
w_heraklion_shortwave_radiation,0.0017976706403903787
w_athens_wind_gusts_10m,0.0017805121869742236
dow_cos,0.0017631532663840224
w_thessaloniki_wind_gusts_10m,0.0017577648670704996
load_lag3,0.0017405174723529673
w_athens_relative_humidity_2m,0.0017051945043603178
gen_wind_lag24,0.0017014012277057821
wind_onshore_fc_dayahead,0.001689487633518598
load_lag2,0.0016789147945250758
co2_lag48,0.0016603590080717125
y_lag6,0.001653333925831412
residual_load_lag6,0.001652395618384949
w_thessaloniki_shortwave_radiation,0.0016194070103074953
w_gr_mean_temperature_2m,0.0015967132414491027
w_patras_temperature_2m,0.0015870073473133737
w_athens_shortwave_radiation,0.0015689732178907302
gen_solar_lag168,0.0015648819180273923
load_lag1,0.0015378945194865613
gas_price,0.0015250762618792201
