block,run,mae,retrain,strategy,task,n_hours,window,algo,mode,spec,seed,note
a_cadence,q1_lgbm_monthly_default,19.22204175925926,monthly,recursive,price,2160,q1,lgbm,monthly,default,,
a_cadence,q1_lgbm_monthly_default_dense,18.350939351851853,monthly,recursive,price,2160,q1,lgbm,monthly,default_dense,,
a_cadence,q1_lgbm_monthly_default_noresfc,17.644292314814816,monthly,recursive,price,2160,q1,lgbm,monthly,default_noresfc,,
a_cadence,q1_lgbm_weekly_default,17.431159027777777,weekly,recursive,price,2160,q1,lgbm,weekly,default,,
a_cadence,q1_lgbm_weekly_default_dense,17.035356944444445,weekly,recursive,price,2160,q1,lgbm,weekly,default_dense,,
a_cadence,q1_lgbm_weekly_default_noresfc,17.362208935185183,weekly,recursive,price,2160,q1,lgbm,weekly,default_noresfc,,
a_cadence,q1_xgb_monthly_default,19.486313564814818,monthly,recursive,price,2160,q1,xgb,monthly,default,,
a_cadence,q1_xgb_monthly_default_dense,18.570672222222225,monthly,recursive,price,2160,q1,xgb,monthly,default_dense,,
a_cadence,q1_xgb_monthly_default_noresfc,17.70245787037037,monthly,recursive,price,2160,q1,xgb,monthly,default_noresfc,,
a_cadence,q1_xgb_weekly_default,17.67241675925926,weekly,recursive,price,2160,q1,xgb,weekly,default,,
a_cadence,q1_xgb_weekly_default_dense,16.923509907407407,weekly,recursive,price,2160,q1,xgb,weekly,default_dense,,
a_cadence,q1_xgb_weekly_default_noresfc,17.16865222222222,weekly,recursive,price,2160,q1,xgb,weekly,default_noresfc,,
a_cadence,summer_lgbm_monthly_default,15.079897373188407,monthly,recursive,price,2208,summer,lgbm,monthly,default,,
a_cadence,summer_lgbm_monthly_default_dense,14.062571105072463,monthly,recursive,price,2208,summer,lgbm,monthly,default_dense,,
a_cadence,summer_lgbm_monthly_default_noresfc,15.545572780797102,monthly,recursive,price,2208,summer,lgbm,monthly,default_noresfc,,
a_cadence,summer_lgbm_weekly_default,14.146826449275363,weekly,recursive,price,2208,summer,lgbm,weekly,default,,
a_cadence,summer_lgbm_weekly_default_dense,13.812292436594204,weekly,recursive,price,2208,summer,lgbm,weekly,default_dense,,
a_cadence,summer_lgbm_weekly_default_noresfc,15.050212454710143,weekly,recursive,price,2208,summer,lgbm,weekly,default_noresfc,,
a_cadence,summer_xgb_monthly_default,15.419493885869562,monthly,recursive,price,2208,summer,xgb,monthly,default,,
a_cadence,summer_xgb_monthly_default_dense,14.406444248188407,monthly,recursive,price,2208,summer,xgb,monthly,default_dense,,
a_cadence,summer_xgb_monthly_default_noresfc,15.52181417572464,monthly,recursive,price,2208,summer,xgb,monthly,default_noresfc,,
a_cadence,summer_xgb_weekly_default,14.57315384963768,weekly,recursive,price,2208,summer,xgb,weekly,default,,
a_cadence,summer_xgb_weekly_default_dense,14.400090126811593,weekly,recursive,price,2208,summer,xgb,weekly,default_dense,,
a_cadence,summer_xgb_weekly_default_noresfc,14.958840942028987,weekly,recursive,price,2208,summer,xgb,weekly,default_noresfc,,
b_march,march_lgbm_dir_default,24.479391458333332,static,direct,price,480,march,lgbm,dir,default,,
b_march,march_lgbm_dir_default_dense,21.684705208333337,static,direct,price,480,march,lgbm,dir,default_dense,,
b_march,march_lgbm_dir_default_nogenlags_noloadlags,25.183253750000002,static,direct,price,480,march,lgbm,dir,default_nogenlags_noloadlags,,
b_march,march_lgbm_dir_default_nometeo,23.499593541666666,static,direct,price,480,march,lgbm,dir,default_nometeo,,
b_march,march_lgbm_dir_default_noresfc,24.711680625,static,direct,price,480,march,lgbm,dir,default_noresfc,,
b_march,march_lgbm_dir_lags_calendar,22.731166041666665,static,direct,price,480,march,lgbm,dir,lags_calendar,,
b_march,march_lgbm_dir_lags_calendar_genlags,23.060055,static,direct,price,480,march,lgbm,dir,lags_calendar_genlags,,
b_march,march_lgbm_rec_default,20.9344425,static,recursive,price,480,march,lgbm,rec,default,,
b_march,march_lgbm_rec_default_dense,20.377706666666665,static,recursive,price,480,march,lgbm,rec,default_dense,,
b_march,march_lgbm_rec_default_nogenlags_noloadlags,21.882267083333332,static,recursive,price,480,march,lgbm,rec,default_nogenlags_noloadlags,,
b_march,march_lgbm_rec_default_nometeo,20.267401249999995,static,recursive,price,480,march,lgbm,rec,default_nometeo,,
b_march,march_lgbm_rec_default_noresfc,20.66369729166667,static,recursive,price,480,march,lgbm,rec,default_noresfc,,
b_march,march_lgbm_rec_lags_calendar,21.48713479166667,static,recursive,price,480,march,lgbm,rec,lags_calendar,,
b_march,march_lgbm_rec_lags_calendar_genlags,20.654381666666666,static,recursive,price,480,march,lgbm,rec,lags_calendar_genlags,,
b_march,march_xgb_dir_default,24.690345,static,direct,price,480,march,xgb,dir,default,,
b_march,march_xgb_dir_default_dense,22.114508333333333,static,direct,price,480,march,xgb,dir,default_dense,,
b_march,march_xgb_dir_default_nogenlags_noloadlags,26.5372025,static,direct,price,480,march,xgb,dir,default_nogenlags_noloadlags,,
b_march,march_xgb_dir_default_nometeo,23.121542499999997,static,direct,price,480,march,xgb,dir,default_nometeo,,
b_march,march_xgb_dir_default_noresfc,25.52709041666667,static,direct,price,480,march,xgb,dir,default_noresfc,,
b_march,march_xgb_dir_lags_calendar,23.863225624999995,static,direct,price,480,march,xgb,dir,lags_calendar,,
b_march,march_xgb_dir_lags_calendar_genlags,23.677587916666667,static,direct,price,480,march,xgb,dir,lags_calendar_genlags,,
b_march,march_xgb_rec_default,21.186520624999996,static,recursive,price,480,march,xgb,rec,default,,
b_march,march_xgb_rec_default_dense,20.55070041666667,static,recursive,price,480,march,xgb,rec,default_dense,,
b_march,march_xgb_rec_default_nogenlags_noloadlags,21.62236020833333,static,recursive,price,480,march,xgb,rec,default_nogenlags_noloadlags,,
b_march,march_xgb_rec_default_nometeo,21.184010416666663,static,recursive,price,480,march,xgb,rec,default_nometeo,,
b_march,march_xgb_rec_default_noresfc,20.578532708333334,static,recursive,price,480,march,xgb,rec,default_noresfc,,
b_march,march_xgb_rec_lags_calendar,21.603143541666668,static,recursive,price,480,march,xgb,rec,lags_calendar,,
b_march,march_xgb_rec_lags_calendar_genlags,19.72126166666667,static,recursive,price,480,march,xgb,rec,lags_calendar_genlags,,
