spec,groups,n_features,MAE,RMSE,sMAPE,n,seconds
default,calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,152,16.1862,23.6528,25.0514,2160,48.3
"default,-resfc",calendar+lags+roll+loadfc+meteo+fuel+genlags+loadlags+other,146,16.7463,24.2439,25.0198,2160,53.7
"default,-loadfc",calendar+lags+roll+resfc+meteo+fuel+genlags+loadlags+other,151,16.2351,23.4999,25.2126,2160,57.5
"default,-genlags",calendar+lags+roll+resfc+loadfc+meteo+fuel+loadlags+other,134,17.6326,24.855,25.9694,2160,55.7
"default,-loadlags",calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+other,144,16.4073,23.8234,25.2727,2160,46.6
"default,-meteo",calendar+lags+roll+resfc+loadfc+fuel+genlags+loadlags+other,68,15.9895,23.1005,25.2893,2160,35.4
"default,-fuel",calendar+lags+roll+resfc+loadfc+meteo+genlags+loadlags+other,134,16.1825,23.4449,25.1301,2160,41.8
"lags,calendar",calendar+lags,15,19.5156,28.2121,27.9821,2160,27.8
"lags,calendar,resfc",calendar+lags+resfc,21,19.1343,28.5237,26.6982,2160,28.5
"lags,calendar,loadfc",calendar+lags+loadfc,16,19.4096,28.2761,27.7862,2160,28.9
"lags,calendar,genlags",calendar+lags+genlags,33,17.0866,24.449,26.4068,2160,30.0
"lags,calendar,loadlags",calendar+lags+loadlags,23,18.7451,27.2354,26.9967,2160,28.5
"lags,calendar,resfc,loadfc",calendar+lags+resfc+loadfc,22,18.7305,27.3561,26.53,2160,28.2
"lags,calendar,genlags,loadlags",calendar+lags+genlags+loadlags,41,16.8587,24.2152,26.1386,2160,29.9
"lags,calendar,resfc,genlags",calendar+lags+resfc+genlags,39,16.0622,23.6283,25.1704,2160,29.7
"lags,calendar,resfc,loadfc,genlags,loadlags",calendar+lags+resfc+loadfc+genlags+loadlags,48,16.0759,23.332,25.3174,2160,27.0
"default,dense",calendar+lags+dense+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,170,15.4473,22.6722,24.504,2160,41.8
"lags,calendar,dense",calendar+lags+dense,33,18.2543,26.9411,27.3235,2160,30.8
