spec,groups,n_features,MAE,RMSE,sMAPE,n,seconds
default,calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,152,16.3862,23.5219,25.3237,2160,67.7
"default,-resfc",calendar+lags+roll+loadfc+meteo+fuel+genlags+loadlags+other,146,16.9006,24.306,25.1799,2160,73.6
"default,-loadfc",calendar+lags+roll+resfc+meteo+fuel+genlags+loadlags+other,151,16.4436,23.6476,25.1577,2160,117.5
"default,-genlags",calendar+lags+roll+resfc+loadfc+meteo+fuel+loadlags+other,134,17.8087,25.1792,26.0154,2160,68.4
"default,-loadlags",calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+other,144,16.1735,23.0785,25.0757,2160,70.3
"default,-meteo",calendar+lags+roll+resfc+loadfc+fuel+genlags+loadlags+other,68,15.8642,23.0975,25.0693,2160,49.9
"default,-fuel",calendar+lags+roll+resfc+loadfc+meteo+genlags+loadlags+other,134,16.1223,23.449,25.0737,2160,69.4
"lags,calendar",calendar+lags,15,19.4422,28.1732,28.0945,2160,26.8
"lags,calendar,resfc",calendar+lags+resfc,21,19.1995,28.4874,26.8063,2160,29.6
"lags,calendar,loadfc",calendar+lags+loadfc,16,19.731,28.5296,28.2103,2160,34.5
"lags,calendar,genlags",calendar+lags+genlags,33,17.1705,24.2847,26.629,2160,43.9
"lags,calendar,loadlags",calendar+lags+loadlags,23,18.6745,27.0828,27.0799,2160,42.0
"lags,calendar,resfc,loadfc",calendar+lags+resfc+loadfc,22,18.5566,27.1968,26.5242,2160,33.8
"lags,calendar,genlags,loadlags",calendar+lags+genlags+loadlags,41,16.7,24.0233,26.0279,2160,42.8
"lags,calendar,resfc,genlags",calendar+lags+resfc+genlags,39,16.0065,23.1447,25.3133,2160,39.0
"lags,calendar,resfc,loadfc,genlags,loadlags",calendar+lags+resfc+loadfc+genlags+loadlags,48,16.0734,23.1749,25.1882,2160,44.0
"default,dense",calendar+lags+dense+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,170,15.6439,22.8941,24.3548,2160,118.3
"lags,calendar,dense",calendar+lags+dense,33,18.3782,27.3068,27.8041,2160,63.8
