spec,groups,n_features,MAE,RMSE,sMAPE,n,seconds
default,calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,152,19.4953,27.359,27.3566,2160,585.5
"default,-resfc",calendar+lags+roll+loadfc+meteo+fuel+genlags+loadlags+other,146,19.4509,27.0581,27.6801,2160,540.8
"default,-loadfc",calendar+lags+roll+resfc+meteo+fuel+genlags+loadlags+other,151,19.2268,27.1545,27.1833,2160,532.2
"default,-genlags",calendar+lags+roll+resfc+loadfc+meteo+fuel+loadlags+other,134,19.6874,27.2792,27.6208,2160,547.3
"default,-loadlags",calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+other,144,19.6208,27.5226,27.4226,2160,594.1
"default,-meteo",calendar+lags+roll+resfc+loadfc+fuel+genlags+loadlags+other,68,19.9814,27.9633,28.2454,2160,517.9
"default,-fuel",calendar+lags+roll+resfc+loadfc+meteo+genlags+loadlags+other,134,19.5136,27.5643,27.4956,2160,556.0
"lags,calendar",calendar+lags,15,20.2396,28.6811,29.308,2160,457.6
"lags,calendar,resfc",calendar+lags+resfc,21,20.6612,29.083,29.6309,2160,452.8
"lags,calendar,loadfc",calendar+lags+loadfc,16,20.0592,28.4759,29.2935,2160,439.5
"lags,calendar,genlags",calendar+lags+genlags,33,21.105,29.347,30.0306,2160,459.9
"lags,calendar,loadlags",calendar+lags+loadlags,23,20.3322,28.6837,29.374,2160,433.5
"lags,calendar,resfc,loadfc",calendar+lags+resfc+loadfc,22,20.5362,28.8362,29.4175,2160,428.7
"lags,calendar,genlags,loadlags",calendar+lags+genlags+loadlags,41,20.8778,28.7945,29.9988,2160,472.9
"lags,calendar,resfc,genlags",calendar+lags+resfc+genlags,39,20.9051,29.2798,29.6207,2160,598.1
"lags,calendar,resfc,loadfc,genlags,loadlags",calendar+lags+resfc+loadfc+genlags+loadlags,48,20.9339,28.9389,29.6698,2160,274.1
"default,dense",calendar+lags+dense+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,170,19.0034,27.3065,26.9294,2160,747.5
"lags,calendar,dense",calendar+lags+dense,33,19.1241,27.8866,27.7738,2160,275.1
